city,date,product,prodcode,quantity,weight_lb,price_usd
Atlanta,Jan 23,Banana,4011,346.0,7.89,1.94
Atlanta,Jan 23,Banana,4011,386.0,19.53,2.78
Atlanta,Jan 23,Banana,4011,224.0,19.81,0.83
Atlanta,Jan 23,Banana,4011,394.0,15.36,2.94
Atlanta,Jan 23,Banana,4011,200.0,14.43,1.05
Atlanta,Jan 23,Banana,4011,298.0,12.0,2.55
Atlanta,Jan 23,Banana,4011,221.0,7.51,0.59
Atlanta,Jan 23,Banana,4011,143.0,19.95,3.12
Atlanta,Jan 23,Banana,4011,272.0,20.73,2.37
Atlanta,Jan 23,Banana,4011,404.0,18.57,2.75
Atlanta,Jan 23,Banana,4011,187.0,8.75,1.17
Atlanta,Jan 23,Banana,4011,460.0,12.98,1.77
Atlanta,Jan 23,Banana,4011,285.0,5.05,2.38
Atlanta,Jan 23,Apple (Gala),4134,455.0,15.81,1.77
Atlanta,Jan 23,Apple (Gala),4134,278.0,10.32,2.74
Atlanta,Jan 23,Apple (Gala),4134,261.0,21.98,1.81
Atlanta,Jan 23,Apple (Gala),4134,458.0,11.02,2.12
Atlanta,Jan 23,Apple (Gala),4134,346.0,2.36,2.4
Atlanta,Jan 23,Apple (Gala),4134,136.0,10.45,2.84
Atlanta,Jan 23,Apple (Gala),4134,172.0,4.44,2.75
Atlanta,Jan 23,Apple (Gala),4134,447.0,2.81,0.82
Atlanta,Jan 23,Apple (Gala),4134,183.0,6.41,1.59
Atlanta,Jan 23,Apple (Gala),4134,323.0,14.57,2.08
Atlanta,Jan 23,Apple (Gala),4134,259.0,8.95,3.07
Atlanta,Jan 23,Apple (Gala),4134,398.0,6.92,2.98
Atlanta,Jan 23,Orange,4012,486.0,7.11,3.09
Atlanta,Jan 23,Orange,4012,320.0,18.58,2.81
Atlanta,Jan 23,Orange,4012,339.0,7.35,2.67
Atlanta,Jan 23,Orange,4012,191.0,8.91,2.17
Atlanta,Jan 23,Orange,4012,220.0,14.46,1.84
Atlanta,Jan 23,Orange,4012,215.0,10.83,0.62
Atlanta,Jan 23,Orange,4012,391.0,16.05,2.83
Atlanta,Jan 23,Orange,4012,466.0,7.33,1.12
Atlanta,Jan 23,Orange,4012,149.0,12.51,2.67
Atlanta,Jan 23,Orange,4012,159.0,19.86,1.97
Atlanta,Jan 23,Orange,4012,269.0,16.49,2.47
Atlanta,Jan 23,Orange,4012,208.0,12.5,2.52
Atlanta,Jan 23,Orange,4012,146.0,21.81,2.96
Atlanta,Jan 23,Orange,4012,240.0,8.42,3.14
Atlanta,Jan 23,Orange,4012,228.0,21.71,1.25
Atlanta,Jan 23,Orange,4012,179.0,13.23,1.69
Atlanta,Jan 23,Orange,4012,102.0,8.66,2.62
Atlanta,Jan 23,Orange,4012,166.0,15.77,1.46
Atlanta,Jan 23,Orange,4012,424.0,16.56,1.02
Atlanta,Jan 23,Apple (Fuji),4131,389.0,11.07,0.98
Atlanta,Jan 23,Apple (Fuji),4131,131.0,6.52,0.89
Atlanta,Jan 23,Apple (Fuji),4131,239.0,7.97,0.76
Atlanta,Jan 23,Apple (Fuji),4131,403.0,20.13,1.34
Atlanta,Jan 23,Apple (Fuji),4131,442.0,19.85,2.76
Atlanta,Jan 23,Apple (Fuji),4131,118.0,12.87,1.19
Atlanta,Jan 23,Apple (Fuji),4131,171.0,19.4,2.58
Atlanta,Jan 23,Apple (Fuji),4131,164.0,14.27,2.65
Atlanta,Jan 23,Apple (Fuji),4131,437.0,12.41,2.23
Atlanta,Jan 23,Apple (Fuji),4131,182.0,15.88,0.91
Atlanta,Jan 23,Apple (Fuji),4131,125.0,7.75,1.13
Atlanta,Jan 23,Apple (Fuji),4131,107.0,3.6,2.65
Atlanta,Jan 23,Apple (Fuji),4131,323.0,5.33,1.7
Atlanta,Jan 23,Apple (Fuji),4131,406.0,11.02,1.4
Atlanta,Jan 23,Tomato,4796,399.0,14.15,2.61
Atlanta,Jan 23,Tomato,4796,145.0,18.56,0.78
Atlanta,Jan 23,Tomato,4796,132.0,2.54,0.94
Atlanta,Jan 23,Tomato,4796,191.0,5.72,2.01
Atlanta,Jan 23,Tomato,4796,476.0,20.82,2.62
Atlanta,Jan 23,Tomato,4796,391.0,17.46,0.76
Atlanta,Jan 23,Tomato,4796,100.0,11.53,2.77
Atlanta,Jan 23,Corn,4078,217.0,14.17,1.38
Atlanta,Jan 23,Corn,4078,193.0,14.53,0.77
Atlanta,Jan 23,Corn,4078,447.0,18.57,2.81
Atlanta,Jan 23,Corn,4078,403.0,17.1,2.22
Atlanta,Jan 23,Corn,4078,250.0,6.3,1.45
Atlanta,Jan 23,Corn,4078,431.0,5.45,1.35
Atlanta,Jan 23,Corn,4078,307.0,12.73,2.56
Atlanta,Jan 23,Corn,4078,315.0,4.3,0.6
Atlanta,Jan 23,Corn,4078,249.0,14.63,2.24
Atlanta,Jan 23,Corn,4078,232.0,16.26,0.77
Atlanta,Jan 23,Corn,4078,237.0,11.07,2.59
Atlanta,Jan 23,Corn,4078,235.0,4.27,0.91
Atlanta,Jan 23,Onion,4159,402.0,16.15,1.54
Atlanta,Jan 23,Onion,4159,470.0,12.11,2.48
Atlanta,Jan 23,Onion,4159,288.0,6.06,2.05
Atlanta,Jan 23,Onion,4159,304.0,7.54,0.89
Atlanta,Jan 23,Onion,4159,297.0,13.73,2.09
Atlanta,Jan 23,Onion,4159,176.0,9.11,1.22
Atlanta,Jan 23,Onion,4159,443.0,20.48,1.72
Atlanta,Jan 23,Onion,4159,257.0,20.7,1.32
Atlanta,Jan 23,Onion,4159,242.0,19.61,0.71
Atlanta,Jan 23,Strawberries,4323,451.0,21.56,2.54
Atlanta,Jan 23,Strawberries,4323,391.0,21.78,1.53
Atlanta,Jan 23,Strawberries,4323,444.0,2.37,2.7
Atlanta,Jan 23,Strawberries,4323,129.0,21.1,0.59
Atlanta,Jan 23,Strawberries,4323,162.0,19.24,0.92
Atlanta,Jan 23,Apricot,3302,414.0,15.81,3.19
Atlanta,Jan 23,Apricot,3302,169.0,6.57,1.49
Atlanta,Jan 23,Apricot,3302,231.0,7.04,0.64
Atlanta,Jan 23,Apricot,3302,193.0,6.15,0.81
Atlanta,Jan 23,Apricot,3302,150.0,15.19,1.88
Atlanta,Jan 23,Apricot,3302,103.0,12.46,2.88
Atlanta,Jan 23,Apricot,3302,404.0,12.56,2.19
Atlanta,Jan 23,Mushroom,4650,500.0,5.13,1.85
Atlanta,Jan 23,Mushroom,4650,230.0,21.91,0.72
Atlanta,Jan 23,Mushroom,4650,120.0,19.84,3.25
Atlanta,Jan 23,Mushroom,4650,124.0,17.5,0.96
Atlanta,Jan 23,Mushroom,4650,127.0,14.79,1.33
Atlanta,Jan 23,Mushroom,4650,381.0,7.06,1.11
Atlanta,Jan 23,Mushroom,4650,468.0,6.14,1.99
Atlanta,Jan 23,Mushroom,4650,115.0,4.58,1.59
Atlanta,Jan 23,Mushroom,4650,168.0,4.12,1.56
Atlanta,Jan 23,Mushroom,4650,461.0,6.34,0.55
Atlanta,Jan 23,Mushroom,4650,482.0,21.17,3.13
Atlanta,Jan 23,Mushroom,4650,454.0,18.22,0.96
Atlanta,Jan 23,Mushroom,4650,409.0,3.38,2.02
Atlanta,Jan 23,Mushroom,4650,332.0,16.23,0.68
Atlanta,Jan 23,Lychee,4309,226.0,5.72,1.85
Atlanta,Jan 23,Lychee,4309,354.0,9.46,2.55
Atlanta,Jan 23,Lychee,4309,276.0,5.73,0.63
Atlanta,Jan 23,Lychee,4309,305.0,13.73,2.38
Atlanta,Jan 23,Lychee,4309,337.0,11.3,2.04
Atlanta,Jan 23,Lychee,4309,150.0,18.89,0.89
Atlanta,Jan 23,Lychee,4309,356.0,5.43,3.25
Atlanta,Jan 23,Pear,4412,318.0,4.07,0.64
Atlanta,Jan 23,Pear,4412,190.0,13.74,3.02
Atlanta,Jan 23,Pear,4412,428.0,7.19,2.13
Atlanta,Jan 23,Pear,4412,381.0,10.11,0.73
Atlanta,Jan 23,Pear,4412,498.0,11.62,2.29
Atlanta,Jan 23,Pear,4412,482.0,6.44,3.29
Atlanta,Jan 23,Lemon,4958,248.0,10.98,0.98
Atlanta,Jan 23,Lemon,4958,267.0,20.17,1.23
Atlanta,Jan 23,Lemon,4958,409.0,3.67,2.14
Atlanta,Jan 23,Lemon,4958,117.0,13.11,2.12
Atlanta,Jan 23,Lemon,4958,257.0,3.72,2.9
Atlanta,Jan 23,Lemon,4958,409.0,12.46,2.82
Atlanta,Jan 23,Lemon,4958,176.0,3.98,3.19
Atlanta,Jan 23,Lemon,4958,371.0,13.47,2.48
Atlanta,Jan 23,Lemon,4958,376.0,19.7,0.58
Atlanta,Jan 23,Lemon,4958,288.0,15.99,2.67
Atlanta,Jan 23,Grapes,4272,450.0,8.41,1.23
Atlanta,Jan 23,Grapes,4272,152.0,9.94,2.71
Atlanta,Jan 23,Grapes,4272,107.0,6.29,1.64
Atlanta,Jan 23,Grapes,4272,481.0,18.6,2.46
Atlanta,Jan 23,Grapes,4272,331.0,8.53,0.81
Atlanta,Jan 23,Grapes,4272,279.0,6.87,0.66
Atlanta,Jan 23,Peach,4404,313.0,6.45,1.08
Atlanta,Jan 23,Peach,4404,318.0,9.68,1.88
Atlanta,Jan 23,Peach,4404,484.0,4.0,0.7
Atlanta,Jan 23,Peach,4404,193.0,10.62,1.0
Atlanta,Jan 23,Peach,4404,138.0,14.32,2.43
Atlanta,Jan 23,Peach,4404,102.0,20.47,2.61
Atlanta,Jan 23,Peach,4404,230.0,17.78,0.65
Atlanta,Jan 23,Peach,4404,102.0,4.66,1.44
Atlanta,Jan 23,Peach,4404,307.0,19.86,1.36
Atlanta,Jan 23,Peach,4404,385.0,12.19,2.97
Atlanta,Jan 23,Peach,4404,276.0,12.33,1.67
Atlanta,Jan 23,Kiwi,4030,250.0,8.6,1.37
Atlanta,Jan 23,Kiwi,4030,212.0,12.56,0.89
Atlanta,Jan 23,Kiwi,4030,122.0,4.89,2.88
Atlanta,Jan 23,Kiwi,4030,357.0,18.75,1.45
Atlanta,Jan 23,Kiwi,4030,270.0,10.01,2.88
Atlanta,Jan 23,Kiwi,4030,207.0,7.89,0.78
Atlanta,Jan 23,Kiwi,4030,190.0,12.79,3.29
Atlanta,Jan 23,Kiwi,4030,187.0,15.77,3.19
Atlanta,Jan 23,Kiwi,4030,168.0,12.09,2.42
Atlanta,Jan 23,Kiwi,4030,233.0,6.45,2.32
Atlanta,Jan 23,Kiwi,4030,391.0,16.16,1.12
Atlanta,Jan 23,Eggplant,4081,444.0,15.11,1.34
Atlanta,Jan 23,Eggplant,4081,260.0,8.65,2.44
Atlanta,Jan 23,Eggplant,4081,354.0,9.95,2.87
Atlanta,Jan 23,Eggplant,4081,226.0,12.07,2.1
Atlanta,Jan 23,Eggplant,4081,359.0,2.78,3.11
Atlanta,Jan 23,Eggplant,4081,221.0,18.02,0.92
Atlanta,Jan 23,Cucumber,4062,136.0,2.96,1.47
Atlanta,Jan 23,Cucumber,4062,141.0,15.14,1.12
Atlanta,Jan 23,Cucumber,4062,222.0,9.71,1.45
Atlanta,Jan 23,Cucumber,4062,343.0,7.93,1.5
Atlanta,Jan 23,Cucumber,4062,111.0,17.46,3.15
Atlanta,Jan 23,Cucumber,4062,442.0,12.65,3.16
Atlanta,Jan 23,Cucumber,4062,149.0,5.77,1.52
Atlanta,Jan 23,Cucumber,4062,462.0,6.96,1.82
Atlanta,Jan 23,Cucumber,4062,291.0,3.66,0.89
Atlanta,Jan 23,Cucumber,4062,433.0,4.65,1.46
