city,date,product,prodcode,quantity,weight_lb,price_usd
Austin,Jan 23,Pear,4412,412.0,17.25,1.66
Austin,Jan 23,Pear,4412,334.0,10.43,0.65
Austin,Jan 23,Pear,4412,130.0,14.67,1.02
Austin,Jan 23,Pear,4412,459.0,14.2,0.64
Austin,Jan 23,Pear,4412,237.0,12.75,0.93
Austin,Jan 23,Pear,4412,271.0,3.88,3.21
Austin,Jan 23,Pear,4412,348.0,11.59,1.92
Austin,Jan 23,Pear,4412,373.0,4.65,2.8
Austin,Jan 23,Pear,4412,354.0,9.8,3.05
Austin,Jan 23,Pear,4412,473.0,8.16,1.95
Austin,Jan 23,Cucumber,4062,260.0,16.16,2.01
Austin,Jan 23,Cucumber,4062,102.0,6.49,2.73
Austin,Jan 23,Cucumber,4062,222.0,11.77,2.54
Austin,Jan 23,Cucumber,4062,226.0,16.26,1.36
Austin,Jan 23,Cucumber,4062,324.0,10.91,2.3
Austin,Jan 23,Cucumber,4062,471.0,9.42,3.16
Austin,Jan 23,Cucumber,4062,317.0,3.19,2.47
Austin,Jan 23,Cucumber,4062,381.0,3.75,2.57
Austin,Jan 23,Grapes,4272,312.0,20.94,2.38
Austin,Jan 23,Grapes,4272,191.0,4.6,1.19
Austin,Jan 23,Grapes,4272,231.0,20.87,2.16
Austin,Jan 23,Grapes,4272,491.0,18.47,2.59
Austin,Jan 23,Grapes,4272,144.0,16.95,1.74
Austin,Jan 23,Grapes,4272,151.0,4.29,3.23
Austin,Jan 23,Grapes,4272,313.0,5.12,1.68
Austin,Jan 23,Corn,4078,222.0,17.33,1.21
Austin,Jan 23,Corn,4078,405.0,12.41,1.01
Austin,Jan 23,Corn,4078,145.0,9.47,1.04
Austin,Jan 23,Corn,4078,426.0,3.16,1.55
Austin,Jan 23,Corn,4078,267.0,11.08,2.53
Austin,Jan 23,Tomato,4796,112.0,20.74,2.3
Austin,Jan 23,Tomato,4796,139.0,18.11,1.96
Austin,Jan 23,Apple (Fuji),4131,497.0,21.65,3.24
Austin,Jan 23,Apple (Fuji),4131,420.0,18.59,2.57
Austin,Jan 23,Apple (Fuji),4131,290.0,13.04,2.14
Austin,Jan 23,Banana,4011,175.0,6.3,2.1
Austin,Jan 23,Banana,4011,191.0,17.48,1.53
Austin,Jan 23,Banana,4011,243.0,14.92,2.75
Austin,Jan 23,Banana,4011,322.0,18.28,1.27
Austin,Jan 23,Eggplant,4081,492.0,10.51,1.63
Austin,Jan 23,Eggplant,4081,227.0,17.21,0.96
Austin,Jan 23,Eggplant,4081,133.0,19.49,2.92
Austin,Jan 23,Eggplant,4081,150.0,17.21,2.12
Austin,Jan 23,Eggplant,4081,347.0,20.35,3.28
Austin,Jan 23,Eggplant,4081,469.0,21.68,0.79
Austin,Jan 23,Eggplant,4081,415.0,18.37,0.89
Austin,Jan 23,Orange,4012,463.0,18.95,1.5
Austin,Jan 23,Orange,4012,381.0,6.76,0.96
