city,date,product,prodcode,quantity,weight_lb,price_usd
Boston,Jan 23,Avocado,4225,271.0,10.86,1.32
Boston,Jan 23,Avocado,4225,244.0,3.55,2.79
Boston,Jan 23,Avocado,4225,149.0,20.61,1.41
Boston,Jan 23,Avocado,4225,470.0,3.99,0.67
Boston,Jan 23,Avocado,4225,459.0,9.51,3.05
Boston,Jan 23,Avocado,4225,229.0,14.19,2.96
Boston,Jan 23,Avocado,4225,209.0,12.17,2.14
Boston,Jan 23,Avocado,4225,486.0,8.3,1.52
Boston,Jan 23,Tomato,4796,264.0,6.28,1.5
Boston,Jan 23,Tomato,4796,485.0,15.08,3.0
Boston,Jan 23,Tomato,4796,497.0,16.08,2.76
Boston,Jan 23,Tomato,4796,207.0,15.3,0.93
Boston,Jan 23,Tomato,4796,360.0,2.98,2.53
Boston,Jan 23,Tomato,4796,133.0,9.12,3.04
Boston,Jan 23,Tomato,4796,202.0,8.33,2.51
Boston,Jan 23,Kiwi,4030,174.0,3.75,2.32
Boston,Jan 23,Kiwi,4030,188.0,4.91,2.02
Boston,Jan 23,Kiwi,4030,383.0,15.32,1.46
Boston,Jan 23,Kiwi,4030,145.0,18.39,1.71
Boston,Jan 23,Kiwi,4030,289.0,10.94,1.83
Boston,Jan 23,Kiwi,4030,371.0,7.25,2.28
Boston,Jan 23,Kiwi,4030,277.0,10.75,1.65
Boston,Jan 23,Kiwi,4030,440.0,5.1,3.0
Boston,Jan 23,Kiwi,4030,418.0,13.76,2.1
Boston,Jan 23,Onion,4159,244.0,21.91,1.15
Boston,Jan 23,Onion,4159,399.0,2.61,1.27
Boston,Jan 23,Onion,4159,393.0,5.49,1.61
Boston,Jan 23,Onion,4159,490.0,9.96,1.87
Boston,Jan 23,Onion,4159,122.0,19.39,2.95
Boston,Jan 23,Onion,4159,142.0,20.97,0.66
Boston,Jan 23,Onion,4159,495.0,7.09,1.53
Boston,Jan 23,Onion,4159,431.0,18.46,0.8
Boston,Jan 23,Onion,4159,422.0,15.43,0.74
Boston,Jan 23,Onion,4159,468.0,11.3,0.73
Boston,Jan 23,Onion,4159,102.0,19.04,3.25
Boston,Jan 23,Blueberries,4240,281.0,9.73,2.44
Boston,Jan 23,Blueberries,4240,356.0,8.64,2.58
Boston,Jan 23,Blueberries,4240,451.0,19.52,1.27
Boston,Jan 23,Blueberries,4240,375.0,13.54,2.75
Boston,Jan 23,Blueberries,4240,400.0,14.08,3.01
Boston,Jan 23,Blueberries,4240,150.0,16.21,2.91
Boston,Jan 23,Blueberries,4240,111.0,8.25,0.92
Boston,Jan 23,Blueberries,4240,437.0,12.02,3.11
Boston,Jan 23,Peach,4404,414.0,20.19,1.2
Boston,Jan 23,Peach,4404,417.0,14.19,1.62
Boston,Jan 23,Peach,4404,118.0,10.77,3.23
Boston,Jan 23,Peach,4404,198.0,17.35,1.69
Boston,Jan 23,Peach,4404,390.0,14.61,1.81
Boston,Jan 23,Peach,4404,274.0,13.94,1.84
Boston,Jan 23,Apricot,3302,271.0,14.89,3.15
Boston,Jan 23,Apricot,3302,387.0,2.85,2.69
Boston,Jan 23,Apricot,3302,287.0,7.93,2.76
Boston,Jan 23,Apricot,3302,142.0,15.65,0.89
Boston,Jan 23,Apricot,3302,206.0,12.61,2.1
Boston,Jan 23,Cucumber,4062,295.0,13.38,1.79
Boston,Jan 23,Cucumber,4062,429.0,17.99,3.08
Boston,Jan 23,Cucumber,4062,247.0,21.37,2.38
Boston,Jan 23,Cucumber,4062,138.0,6.65,1.54
Boston,Jan 23,Cucumber,4062,425.0,13.26,2.73
Boston,Jan 23,Cucumber,4062,157.0,17.13,2.84
Boston,Jan 23,Apple (Fuji),4131,371.0,17.0,1.63
Boston,Jan 23,Apple (Fuji),4131,258.0,19.82,1.96
Boston,Jan 23,Apple (Fuji),4131,438.0,13.5,2.6
Boston,Jan 23,Apple (Fuji),4131,275.0,19.17,1.52
Boston,Jan 23,Apple (Fuji),4131,163.0,5.0,3.06
Boston,Jan 23,Apple (Fuji),4131,346.0,7.0,1.65
Boston,Jan 23,Apple (Fuji),4131,495.0,15.0,0.68
Boston,Jan 23,Apple (Fuji),4131,439.0,14.02,3.05
Boston,Jan 23,Apple (Fuji),4131,235.0,8.83,0.61
Boston,Jan 23,Apple (Gala),4134,321.0,5.33,1.59
Boston,Jan 23,Apple (Gala),4134,355.0,11.16,0.88
Boston,Jan 23,Apple (Gala),4134,384.0,19.03,1.07
Boston,Jan 23,Apple (Gala),4134,367.0,7.23,1.92
Boston,Jan 23,Pear,4412,140.0,14.26,1.33
Boston,Jan 23,Pear,4412,318.0,12.74,1.56
Boston,Jan 23,Pear,4412,397.0,20.9,1.52
Boston,Jan 23,Pear,4412,164.0,11.41,2.94
Boston,Jan 23,Pear,4412,436.0,19.97,0.67
Boston,Jan 23,Pear,4412,341.0,3.56,0.79
Boston,Jan 23,Pear,4412,197.0,11.98,1.05
Boston,Jan 23,Pear,4412,360.0,19.77,2.49
Boston,Jan 23,Pear,4412,104.0,15.75,0.58
Boston,Jan 23,Pear,4412,120.0,13.55,3.07
Boston,Jan 23,Pear,4412,438.0,13.33,0.61
Boston,Jan 23,Pear,4412,423.0,7.0,2.64
Boston,Jan 23,Pear,4412,462.0,16.92,1.87
Boston,Jan 23,Pear,4412,378.0,8.67,2.69
Boston,Jan 23,Pear,4412,385.0,16.91,1.86
Boston,Jan 23,Lychee,4309,212.0,18.62,2.4
Boston,Jan 23,Lychee,4309,468.0,15.15,3.03
Boston,Jan 23,Lychee,4309,292.0,17.15,2.03
Boston,Jan 23,Lychee,4309,499.0,19.48,2.47
Boston,Jan 23,Lychee,4309,208.0,16.91,3.07
Boston,Jan 23,Orange,4012,398.0,4.02,0.86
Boston,Jan 23,Orange,4012,280.0,15.77,2.79
Boston,Jan 23,Orange,4012,129.0,9.22,1.79
Boston,Jan 23,Orange,4012,437.0,4.63,0.87
Boston,Jan 23,Orange,4012,233.0,15.28,1.53
Boston,Jan 23,Banana,4011,147.0,6.86,1.01
Boston,Jan 23,Banana,4011,397.0,20.31,1.2
Boston,Jan 23,Banana,4011,483.0,15.55,1.82
Boston,Jan 23,Banana,4011,204.0,18.39,3.17
Boston,Jan 23,Banana,4011,479.0,7.25,0.56
Boston,Jan 23,Grapes,4272,347.0,16.91,2.75
Boston,Jan 23,Grapes,4272,326.0,14.79,1.15
Boston,Jan 23,Grapes,4272,158.0,20.68,2.92
Boston,Jan 23,Grapes,4272,354.0,18.09,1.49
Boston,Jan 23,Grapes,4272,315.0,21.3,1.84
Boston,Jan 23,Grapes,4272,482.0,11.73,2.36
Boston,Jan 23,Grapes,4272,200.0,7.79,3.06
Boston,Jan 23,Grapes,4272,263.0,16.56,0.57
Boston,Jan 23,Corn,4078,267.0,7.8,3.1
Boston,Jan 23,Corn,4078,366.0,20.42,2.41
Boston,Jan 23,Corn,4078,179.0,19.96,1.19
Boston,Jan 23,Corn,4078,379.0,14.54,1.0
Boston,Jan 23,Corn,4078,318.0,3.2,0.63
Boston,Jan 23,Corn,4078,450.0,4.02,3.06
Boston,Jan 23,Eggplant,4081,178.0,15.43,3.28
Boston,Jan 23,Eggplant,4081,239.0,3.09,0.6
Boston,Jan 23,Eggplant,4081,363.0,8.64,2.94
