city,date,product,prodcode,quantity,weight_lb,price_usd
Chicago,Jan 23,Strawberries,4323,465.0,16.09,1.99
Chicago,Jan 23,Strawberries,4323,222.0,13.63,2.57
Chicago,Jan 23,Strawberries,4323,106.0,12.65,1.67
Chicago,Jan 23,Strawberries,4323,498.0,4.08,2.87
Chicago,Jan 23,Strawberries,4323,189.0,21.4,2.66
Chicago,Jan 23,Strawberries,4323,234.0,16.18,0.74
Chicago,Jan 23,Grapes,4272,158.0,6.5,1.58
Chicago,Jan 23,Grapes,4272,486.0,12.04,1.93
Chicago,Jan 23,Grapes,4272,214.0,6.29,2.86
Chicago,Jan 23,Grapes,4272,304.0,13.02,3.15
Chicago,Jan 23,Grapes,4272,153.0,9.29,0.84
Chicago,Jan 23,Grapes,4272,231.0,21.85,1.23
Chicago,Jan 23,Grapes,4272,279.0,3.3,1.53
Chicago,Jan 23,Grapes,4272,336.0,19.44,1.8
Chicago,Jan 23,Grapes,4272,186.0,17.63,2.99
Chicago,Jan 23,Cucumber,4062,151.0,19.09,0.55
Chicago,Jan 23,Cucumber,4062,248.0,17.87,2.58
Chicago,Jan 23,Cucumber,4062,122.0,21.56,3.28
Chicago,Jan 23,Cucumber,4062,452.0,4.2,1.84
Chicago,Jan 23,Cucumber,4062,499.0,11.59,2.2
Chicago,Jan 23,Cucumber,4062,251.0,6.4,1.02
Chicago,Jan 23,Pear,4412,420.0,13.58,2.93
Chicago,Jan 23,Pear,4412,409.0,7.7,3.27
Chicago,Jan 23,Pear,4412,418.0,14.12,2.0
Chicago,Jan 23,Pear,4412,295.0,6.58,0.94
Chicago,Jan 23,Pear,4412,193.0,15.74,2.25
Chicago,Jan 23,Pear,4412,424.0,8.19,0.96
Chicago,Jan 23,Pear,4412,439.0,8.12,1.02
Chicago,Jan 23,Pear,4412,350.0,15.44,1.91
Chicago,Jan 23,Pear,4412,350.0,14.14,3.1
Chicago,Jan 23,Pear,4412,369.0,5.42,2.66
Chicago,Jan 23,Pear,4412,104.0,8.19,3.17
Chicago,Jan 23,Pear,4412,327.0,15.71,1.46
Chicago,Jan 23,Pear,4412,194.0,5.29,1.61
Chicago,Jan 23,Kiwi,4030,320.0,11.05,2.5
Chicago,Jan 23,Kiwi,4030,139.0,18.09,3.29
Chicago,Jan 23,Kiwi,4030,145.0,4.46,2.32
Chicago,Jan 23,Kiwi,4030,358.0,14.9,1.85
Chicago,Jan 23,Kiwi,4030,196.0,8.67,0.9
Chicago,Jan 23,Kiwi,4030,111.0,14.19,1.99
Chicago,Jan 23,Apple (Fuji),4131,184.0,10.3,1.26
Chicago,Jan 23,Apple (Fuji),4131,369.0,3.62,2.38
Chicago,Jan 23,Apple (Fuji),4131,307.0,17.6,1.51
Chicago,Jan 23,Apple (Fuji),4131,411.0,7.23,1.06
Chicago,Jan 23,Onion,4159,489.0,7.31,2.36
Chicago,Jan 23,Onion,4159,500.0,15.98,2.44
Chicago,Jan 23,Onion,4159,241.0,18.67,2.5
Chicago,Jan 23,Onion,4159,320.0,2.47,3.22
Chicago,Jan 23,Onion,4159,302.0,20.58,1.75
Chicago,Jan 23,Onion,4159,247.0,17.39,1.95
Chicago,Jan 23,Onion,4159,170.0,16.44,0.57
Chicago,Jan 23,Onion,4159,442.0,13.12,1.55
Chicago,Jan 23,Onion,4159,256.0,21.76,3.12
Chicago,Jan 23,Onion,4159,470.0,12.86,1.83
Chicago,Jan 23,Onion,4159,403.0,16.57,0.91
Chicago,Jan 23,Onion,4159,480.0,9.74,2.1
Chicago,Jan 23,Banana,4011,261.0,14.95,2.9
Chicago,Jan 23,Banana,4011,476.0,18.0,0.95
Chicago,Jan 23,Banana,4011,106.0,8.99,2.24
Chicago,Jan 23,Banana,4011,384.0,4.87,0.71
Chicago,Jan 23,Apricot,3302,327.0,3.9,3.1
Chicago,Jan 23,Apricot,3302,138.0,14.41,3.13
Chicago,Jan 23,Apricot,3302,405.0,17.94,1.98
Chicago,Jan 23,Apricot,3302,274.0,19.75,2.68
Chicago,Jan 23,Apricot,3302,295.0,20.97,1.38
Chicago,Jan 23,Apricot,3302,450.0,15.85,2.89
Chicago,Jan 23,Peach,4404,418.0,7.1,0.69
Chicago,Jan 23,Peach,4404,114.0,20.16,1.39
Chicago,Jan 23,Peach,4404,494.0,20.91,1.94
Chicago,Jan 23,Peach,4404,446.0,19.38,0.63
