city,date,product,prodcode,quantity,weight_lb,price_usd
"Washington, DC",Jan 23,Orange,4012,488.0,14.06,1.72
"Washington, DC",Jan 23,Orange,4012,454.0,4.3,1.41
"Washington, DC",Jan 23,Orange,4012,248.0,19.71,2.14
"Washington, DC",Jan 23,Orange,4012,295.0,8.21,0.93
"Washington, DC",Jan 23,Orange,4012,374.0,3.93,1.2
"Washington, DC",Jan 23,Orange,4012,309.0,5.15,1.98
"Washington, DC",Jan 23,Orange,4012,347.0,3.12,2.07
"Washington, DC",Jan 23,Orange,4012,194.0,5.87,0.89
"Washington, DC",Jan 23,Orange,4012,288.0,18.48,3.0
"Washington, DC",Jan 23,Orange,4012,425.0,17.67,1.41
"Washington, DC",Jan 23,Orange,4012,259.0,11.26,3.28
"Washington, DC",Jan 23,Orange,4012,445.0,8.87,1.59
"Washington, DC",Jan 23,Orange,4012,359.0,7.51,2.06
"Washington, DC",Jan 23,Onion,4159,375.0,17.89,2.44
"Washington, DC",Jan 23,Onion,4159,286.0,17.17,3.13
"Washington, DC",Jan 23,Onion,4159,235.0,21.91,2.53
"Washington, DC",Jan 23,Onion,4159,205.0,12.01,2.55
"Washington, DC",Jan 23,Onion,4159,312.0,2.21,2.36
"Washington, DC",Jan 23,Onion,4159,500.0,19.01,3.03
"Washington, DC",Jan 23,Onion,4159,155.0,14.24,2.24
"Washington, DC",Jan 23,Onion,4159,432.0,17.4,1.78
"Washington, DC",Jan 23,Onion,4159,415.0,8.29,2.24
"Washington, DC",Jan 23,Onion,4159,273.0,13.5,2.16
"Washington, DC",Jan 23,Blueberries,4240,138.0,12.14,0.9
"Washington, DC",Jan 23,Blueberries,4240,201.0,21.88,1.9
"Washington, DC",Jan 23,Blueberries,4240,370.0,6.01,3.01
"Washington, DC",Jan 23,Blueberries,4240,205.0,14.45,1.18
"Washington, DC",Jan 23,Blueberries,4240,391.0,16.74,0.97
"Washington, DC",Jan 23,Blueberries,4240,187.0,17.78,1.93
"Washington, DC",Jan 23,Blueberries,4240,488.0,6.39,1.25
"Washington, DC",Jan 23,Blueberries,4240,130.0,17.82,3.01
"Washington, DC",Jan 23,Apple (Fuji),4131,222.0,19.73,0.58
"Washington, DC",Jan 23,Apple (Fuji),4131,366.0,19.19,1.05
"Washington, DC",Jan 23,Apple (Fuji),4131,401.0,15.05,1.76
"Washington, DC",Jan 23,Apple (Fuji),4131,243.0,16.84,0.87
"Washington, DC",Jan 23,Apple (Fuji),4131,322.0,2.51,0.6
"Washington, DC",Jan 23,Apple (Fuji),4131,277.0,20.05,2.64
"Washington, DC",Jan 23,Apple (Fuji),4131,405.0,7.47,2.75
"Washington, DC",Jan 23,Apple (Fuji),4131,479.0,10.07,0.65
"Washington, DC",Jan 23,Apple (Fuji),4131,170.0,13.69,2.63
"Washington, DC",Jan 23,Apple (Fuji),4131,473.0,5.41,3.14
"Washington, DC",Jan 23,Apple (Gala),4134,213.0,16.82,1.29
"Washington, DC",Jan 23,Apple (Gala),4134,252.0,21.17,2.52
"Washington, DC",Jan 23,Apple (Gala),4134,139.0,9.13,1.69
"Washington, DC",Jan 23,Apple (Gala),4134,412.0,4.84,3.07
"Washington, DC",Jan 23,Apple (Gala),4134,294.0,7.72,3.13
"Washington, DC",Jan 23,Apple (Gala),4134,135.0,20.82,2.65
"Washington, DC",Jan 23,Apple (Gala),4134,386.0,17.7,1.77
"Washington, DC",Jan 23,Apple (Gala),4134,403.0,4.73,1.31
"Washington, DC",Jan 23,Kiwi,4030,460.0,16.23,2.01
"Washington, DC",Jan 23,Kiwi,4030,439.0,6.56,0.6
"Washington, DC",Jan 23,Kiwi,4030,253.0,2.36,2.35
"Washington, DC",Jan 23,Kiwi,4030,366.0,17.14,0.88
"Washington, DC",Jan 23,Kiwi,4030,155.0,21.44,3.25
"Washington, DC",Jan 23,Kiwi,4030,263.0,12.49,2.95
"Washington, DC",Jan 23,Kiwi,4030,130.0,11.36,1.02
"Washington, DC",Jan 23,Kiwi,4030,390.0,14.25,0.71
"Washington, DC",Jan 23,Kiwi,4030,362.0,3.9,2.07
"Washington, DC",Jan 23,Kiwi,4030,231.0,18.98,1.01
"Washington, DC",Jan 23,Kiwi,4030,361.0,8.49,1.15
"Washington, DC",Jan 23,Corn,4078,438.0,18.79,1.83
"Washington, DC",Jan 23,Corn,4078,389.0,13.75,1.1
"Washington, DC",Jan 23,Corn,4078,182.0,4.05,2.35
"Washington, DC",Jan 23,Corn,4078,409.0,17.4,2.11
"Washington, DC",Jan 23,Corn,4078,387.0,7.19,3.25
"Washington, DC",Jan 23,Corn,4078,321.0,5.55,2.8
"Washington, DC",Jan 23,Banana,4011,306.0,13.72,2.37
"Washington, DC",Jan 23,Banana,4011,185.0,7.51,2.9
"Washington, DC",Jan 23,Banana,4011,445.0,20.59,1.74
"Washington, DC",Jan 23,Banana,4011,440.0,9.68,2.96
"Washington, DC",Jan 23,Banana,4011,154.0,11.24,1.41
"Washington, DC",Jan 23,Banana,4011,271.0,7.54,1.92
"Washington, DC",Jan 23,Banana,4011,249.0,6.48,3.12
"Washington, DC",Jan 23,Apricot,3302,268.0,9.26,1.1
"Washington, DC",Jan 23,Apricot,3302,304.0,9.92,3.12
"Washington, DC",Jan 23,Apricot,3302,241.0,11.14,3.04
"Washington, DC",Jan 23,Apricot,3302,128.0,15.7,2.89
"Washington, DC",Jan 23,Apricot,3302,327.0,20.3,2.52
"Washington, DC",Jan 23,Apricot,3302,325.0,8.85,3.08
"Washington, DC",Jan 23,Apricot,3302,275.0,11.96,0.96
"Washington, DC",Jan 23,Apricot,3302,441.0,14.99,2.4
"Washington, DC",Jan 23,Apricot,3302,440.0,15.37,2.89
"Washington, DC",Jan 23,Cucumber,4062,427.0,14.89,2.28
"Washington, DC",Jan 23,Cucumber,4062,219.0,14.26,2.47
"Washington, DC",Jan 23,Cucumber,4062,116.0,17.4,1.36
"Washington, DC",Jan 23,Cucumber,4062,287.0,3.52,1.85
"Washington, DC",Jan 23,Cucumber,4062,219.0,20.66,2.87
"Washington, DC",Jan 23,Cucumber,4062,442.0,20.11,2.86
"Washington, DC",Jan 23,Cucumber,4062,129.0,19.76,1.29
"Washington, DC",Jan 23,Cucumber,4062,264.0,4.72,2.6
"Washington, DC",Jan 23,Avocado,4225,144.0,19.1,2.42
"Washington, DC",Jan 23,Avocado,4225,299.0,19.09,1.66
"Washington, DC",Jan 23,Avocado,4225,194.0,9.64,1.4
"Washington, DC",Jan 23,Avocado,4225,170.0,9.98,1.51
"Washington, DC",Jan 23,Avocado,4225,488.0,9.3,2.08
"Washington, DC",Jan 23,Avocado,4225,321.0,6.01,2.51
"Washington, DC",Jan 23,Avocado,4225,488.0,5.55,3.15
"Washington, DC",Jan 23,Avocado,4225,223.0,18.49,0.62
"Washington, DC",Jan 23,Avocado,4225,459.0,13.54,1.06
"Washington, DC",Jan 23,Tomato,4796,421.0,13.67,2.94
"Washington, DC",Jan 23,Tomato,4796,320.0,8.52,0.97
"Washington, DC",Jan 23,Tomato,4796,447.0,15.98,1.15
"Washington, DC",Jan 23,Tomato,4796,369.0,11.66,0.8
"Washington, DC",Jan 23,Tomato,4796,316.0,6.37,2.33
"Washington, DC",Jan 23,Tomato,4796,237.0,11.91,1.53
"Washington, DC",Jan 23,Lychee,4309,297.0,6.4,2.94
"Washington, DC",Jan 23,Lychee,4309,421.0,8.16,1.0
"Washington, DC",Jan 23,Lychee,4309,410.0,11.47,1.61
"Washington, DC",Jan 23,Lychee,4309,171.0,16.69,1.49
"Washington, DC",Jan 23,Lychee,4309,449.0,8.48,0.6
"Washington, DC",Jan 23,Lychee,4309,271.0,3.24,2.36
"Washington, DC",Jan 23,Lychee,4309,425.0,18.11,3.18
"Washington, DC",Jan 23,Lychee,4309,338.0,3.9,2.36
"Washington, DC",Jan 23,Lychee,4309,250.0,6.09,2.6
"Washington, DC",Jan 23,Lychee,4309,173.0,5.1,2.57
"Washington, DC",Jan 23,Eggplant,4081,221.0,13.48,2.59
"Washington, DC",Jan 23,Eggplant,4081,428.0,15.35,1.22
"Washington, DC",Jan 23,Eggplant,4081,205.0,20.62,1.71
"Washington, DC",Jan 23,Eggplant,4081,328.0,3.03,3.21
"Washington, DC",Jan 23,Eggplant,4081,182.0,5.24,2.33
"Washington, DC",Jan 23,Eggplant,4081,241.0,11.57,3.19
"Washington, DC",Jan 23,Eggplant,4081,248.0,6.33,1.64
"Washington, DC",Jan 23,Eggplant,4081,224.0,5.97,2.11
"Washington, DC",Jan 23,Eggplant,4081,301.0,17.89,0.97
"Washington, DC",Jan 23,Grapes,4272,407.0,19.39,0.99
"Washington, DC",Jan 23,Grapes,4272,160.0,7.72,3.17
"Washington, DC",Jan 23,Grapes,4272,376.0,12.76,1.88
"Washington, DC",Jan 23,Grapes,4272,286.0,16.74,2.71
"Washington, DC",Jan 23,Lemon,4958,113.0,16.09,1.47
"Washington, DC",Jan 23,Lemon,4958,137.0,15.69,2.4
"Washington, DC",Jan 23,Lemon,4958,251.0,13.11,1.74
"Washington, DC",Jan 23,Lemon,4958,206.0,18.9,1.13
"Washington, DC",Jan 23,Lemon,4958,260.0,5.23,1.16
"Washington, DC",Jan 23,Lemon,4958,355.0,4.41,2.15
"Washington, DC",Jan 23,Lemon,4958,198.0,6.06,0.82
"Washington, DC",Jan 23,Lemon,4958,289.0,21.75,2.61
"Washington, DC",Jan 23,Lemon,4958,380.0,4.63,2.72
"Washington, DC",Jan 23,Strawberries,4323,412.0,8.23,1.42
"Washington, DC",Jan 23,Strawberries,4323,467.0,12.88,0.58
"Washington, DC",Jan 23,Strawberries,4323,117.0,12.83,1.69
"Washington, DC",Jan 23,Strawberries,4323,444.0,5.17,2.85
"Washington, DC",Jan 23,Strawberries,4323,179.0,5.17,1.85
"Washington, DC",Jan 23,Strawberries,4323,173.0,6.85,1.27
"Washington, DC",Jan 23,Strawberries,4323,234.0,3.36,2.02
"Washington, DC",Jan 23,Strawberries,4323,261.0,7.29,0.86
"Washington, DC",Jan 23,Strawberries,4323,175.0,6.25,1.03
"Washington, DC",Jan 23,Strawberries,4323,342.0,8.61,2.05
"Washington, DC",Jan 23,Pear,4412,446.0,2.49,1.82
"Washington, DC",Jan 23,Pear,4412,390.0,17.74,0.77
"Washington, DC",Jan 23,Pear,4412,463.0,17.74,1.59
"Washington, DC",Jan 23,Peach,4404,355.0,20.28,1.19
"Washington, DC",Jan 23,Peach,4404,293.0,8.34,3.15
"Washington, DC",Jan 23,Peach,4404,409.0,14.57,1.85
"Washington, DC",Jan 23,Peach,4404,343.0,10.31,2.81
"Washington, DC",Jan 23,Peach,4404,410.0,13.55,1.72
"Washington, DC",Jan 23,Peach,4404,222.0,6.97,0.82
"Washington, DC",Jan 23,Peach,4404,422.0,18.46,2.58
"Washington, DC",Jan 23,Peach,4404,389.0,15.0,2.38
"Washington, DC",Jan 23,Peach,4404,401.0,14.8,2.38
"Washington, DC",Jan 23,Peach,4404,427.0,5.09,2.33
"Washington, DC",Jan 23,Mushroom,4650,137.0,13.87,2.98
"Washington, DC",Jan 23,Mushroom,4650,359.0,11.84,0.62
"Washington, DC",Jan 23,Mushroom,4650,495.0,5.92,2.37
"Washington, DC",Jan 23,Mushroom,4650,493.0,21.87,1.55
"Washington, DC",Jan 23,Mushroom,4650,298.0,6.3,1.49
"Washington, DC",Jan 23,Mushroom,4650,141.0,17.26,0.81
"Washington, DC",Jan 19,Strawberries,4323,272.0,16.08,1.37
"Washington, DC",Jan 19,Strawberries,4323,479.0,4.74,1.55
"Washington, DC",Jan 19,Strawberries,4323,116.0,7.54,2.38
"Washington, DC",Jan 19,Strawberries,4323,232.0,13.79,1.88
"Washington, DC",Jan 19,Avocado,4225,242.0,9.99,3.3
"Washington, DC",Jan 19,Avocado,4225,152.0,21.44,0.9
"Washington, DC",Jan 19,Avocado,4225,462.0,6.78,1.39
"Washington, DC",Jan 19,Avocado,4225,411.0,14.3,2.92
"Washington, DC",Jan 19,Avocado,4225,134.0,20.25,1.96
"Washington, DC",Jan 19,Avocado,4225,437.0,11.89,2.35
"Washington, DC",Jan 19,Avocado,4225,402.0,3.35,1.99
