city,date,product,prodcode,quantity,weight_lb,price_usd
Denver,Jan 23,Strawberries,4323,143.0,7.35,1.14
Denver,Jan 23,Strawberries,4323,257.0,19.85,2.82
Denver,Jan 23,Strawberries,4323,334.0,10.43,2.67
Denver,Jan 23,Strawberries,4323,399.0,17.87,2.88
Denver,Jan 23,Strawberries,4323,242.0,6.17,2.02
Denver,Jan 23,Strawberries,4323,340.0,11.95,2.69
Denver,Jan 23,Strawberries,4323,121.0,10.24,2.38
Denver,Jan 23,Strawberries,4323,452.0,21.23,3.09
Denver,Jan 23,Strawberries,4323,161.0,20.37,0.96
Denver,Jan 23,Eggplant,4081,347.0,15.18,2.2
Denver,Jan 23,Eggplant,4081,424.0,14.81,2.66
Denver,Jan 23,Eggplant,4081,484.0,20.22,0.93
Denver,Jan 23,Eggplant,4081,132.0,9.33,0.79
Denver,Jan 23,Eggplant,4081,380.0,12.66,2.76
Denver,Jan 23,Eggplant,4081,323.0,9.58,2.69
Denver,Jan 23,Eggplant,4081,141.0,17.23,1.68
Denver,Jan 23,Eggplant,4081,373.0,4.92,1.29
Denver,Jan 23,Eggplant,4081,398.0,15.17,2.72
Denver,Jan 23,Apple (Gala),4134,259.0,14.63,1.04
Denver,Jan 23,Apple (Gala),4134,343.0,16.28,0.71
Denver,Jan 23,Apple (Gala),4134,223.0,20.47,2.67
Denver,Jan 23,Apple (Gala),4134,275.0,14.12,2.47
Denver,Jan 23,Apple (Gala),4134,272.0,3.21,1.32
Denver,Jan 23,Apple (Gala),4134,294.0,3.06,1.22
Denver,Jan 23,Apple (Gala),4134,332.0,4.57,1.65
Denver,Jan 23,Apple (Gala),4134,170.0,6.0,3.3
Denver,Jan 23,Apple (Gala),4134,305.0,16.65,2.39
Denver,Jan 23,Apple (Gala),4134,392.0,6.18,1.57
Denver,Jan 23,Mushroom,4650,229.0,20.73,1.31
Denver,Jan 23,Mushroom,4650,313.0,7.28,0.9
Denver,Jan 23,Mushroom,4650,206.0,10.58,2.2
Denver,Jan 23,Mushroom,4650,224.0,2.89,3.06
Denver,Jan 23,Mushroom,4650,155.0,11.56,2.33
Denver,Jan 23,Mushroom,4650,140.0,15.75,3.0
Denver,Jan 23,Mushroom,4650,333.0,21.47,2.54
Denver,Jan 23,Mushroom,4650,497.0,21.14,3.27
Denver,Jan 23,Mushroom,4650,224.0,15.03,0.78
Denver,Jan 23,Mushroom,4650,140.0,11.78,2.68
Denver,Jan 23,Mushroom,4650,245.0,11.05,1.24
Denver,Jan 23,Mushroom,4650,385.0,5.94,3.18
Denver,Jan 23,Apricot,3302,148.0,13.65,2.46
Denver,Jan 23,Apricot,3302,225.0,19.24,0.63
Denver,Jan 23,Apricot,3302,495.0,13.9,1.65
Denver,Jan 23,Apricot,3302,193.0,7.98,2.77
Denver,Jan 23,Apricot,3302,462.0,13.06,3.19
Denver,Jan 23,Onion,4159,313.0,19.6,1.05
Denver,Jan 23,Onion,4159,323.0,17.0,1.29
Denver,Jan 23,Onion,4159,259.0,10.79,2.06
Denver,Jan 23,Onion,4159,117.0,4.65,0.85
Denver,Jan 23,Onion,4159,389.0,13.71,2.14
Denver,Jan 23,Onion,4159,486.0,9.32,1.3
Denver,Jan 23,Onion,4159,288.0,11.43,1.99
Denver,Jan 23,Onion,4159,286.0,21.59,2.67
Denver,Jan 23,Onion,4159,217.0,2.8,1.0
Denver,Jan 23,Onion,4159,424.0,7.58,2.28
Denver,Jan 23,Onion,4159,355.0,18.29,3.05
Denver,Jan 23,Onion,4159,230.0,5.32,3.09
Denver,Jan 23,Onion,4159,452.0,19.55,2.46
Denver,Jan 23,Onion,4159,493.0,11.94,2.53
Denver,Jan 23,Onion,4159,317.0,12.41,2.73
Denver,Jan 23,Peach,4404,134.0,18.53,1.06
Denver,Jan 23,Peach,4404,280.0,7.41,0.86
Denver,Jan 23,Peach,4404,407.0,3.73,1.31
Denver,Jan 23,Peach,4404,152.0,15.15,2.88
Denver,Jan 23,Peach,4404,188.0,4.75,0.8
Denver,Jan 23,Peach,4404,269.0,5.18,1.61
Denver,Jan 23,Peach,4404,465.0,6.75,3.06
Denver,Jan 23,Peach,4404,472.0,19.96,0.64
Denver,Jan 23,Peach,4404,236.0,12.36,2.34
Denver,Jan 23,Apple (Fuji),4131,118.0,16.99,1.93
Denver,Jan 23,Apple (Fuji),4131,168.0,7.81,0.72
Denver,Jan 23,Apple (Fuji),4131,336.0,9.33,0.65
Denver,Jan 23,Apple (Fuji),4131,453.0,9.65,1.96
Denver,Jan 23,Apple (Fuji),4131,358.0,16.35,2.17
Denver,Jan 23,Apple (Fuji),4131,299.0,3.94,2.84
Denver,Jan 23,Apple (Fuji),4131,327.0,7.02,2.61
Denver,Jan 23,Lemon,4958,182.0,10.76,1.97
Denver,Jan 23,Lemon,4958,165.0,7.14,1.61
Denver,Jan 23,Lemon,4958,465.0,19.77,1.22
Denver,Jan 23,Lemon,4958,398.0,15.17,2.95
Denver,Jan 23,Lemon,4958,447.0,15.13,3.03
Denver,Jan 23,Lemon,4958,450.0,13.22,1.92
Denver,Jan 23,Lemon,4958,109.0,21.76,1.72
Denver,Jan 23,Lemon,4958,469.0,16.77,1.49
Denver,Jan 23,Lemon,4958,277.0,10.44,3.09
Denver,Jan 23,Lemon,4958,253.0,12.91,2.52
Denver,Jan 23,Lemon,4958,344.0,12.57,1.12
Denver,Jan 23,Lemon,4958,258.0,16.39,2.93
Denver,Jan 23,Corn,4078,342.0,13.47,1.28
Denver,Jan 23,Corn,4078,499.0,11.08,2.7
Denver,Jan 23,Corn,4078,500.0,21.3,0.88
Denver,Jan 23,Corn,4078,236.0,3.36,1.99
Denver,Jan 23,Corn,4078,119.0,6.26,1.07
Denver,Jan 23,Corn,4078,277.0,13.77,3.14
Denver,Jan 23,Corn,4078,269.0,19.48,1.73
Denver,Jan 23,Corn,4078,105.0,6.58,3.24
Denver,Jan 23,Corn,4078,282.0,7.99,2.06
Denver,Jan 23,Cucumber,4062,298.0,7.07,1.83
Denver,Jan 23,Cucumber,4062,260.0,19.37,2.75
Denver,Jan 23,Cucumber,4062,287.0,12.47,0.83
Denver,Jan 23,Cucumber,4062,297.0,9.29,2.66
Denver,Jan 23,Cucumber,4062,143.0,3.99,1.57
Denver,Jan 23,Cucumber,4062,275.0,5.84,2.26
Denver,Jan 23,Kiwi,4030,167.0,10.31,1.89
Denver,Jan 23,Kiwi,4030,426.0,3.13,2.3
Denver,Jan 23,Kiwi,4030,307.0,7.63,2.87
Denver,Jan 23,Kiwi,4030,401.0,12.9,0.57
Denver,Jan 23,Kiwi,4030,460.0,5.44,1.69
Denver,Jan 23,Kiwi,4030,291.0,8.88,2.98
Denver,Jan 23,Kiwi,4030,316.0,18.04,3.27
Denver,Jan 23,Kiwi,4030,284.0,3.03,1.18
Denver,Jan 23,Kiwi,4030,207.0,18.6,1.86
Denver,Jan 23,Avocado,4225,167.0,18.11,2.77
Denver,Jan 23,Avocado,4225,265.0,15.27,3.15
Denver,Jan 23,Avocado,4225,452.0,13.05,1.22
Denver,Jan 23,Avocado,4225,399.0,2.27,1.97
Denver,Jan 23,Avocado,4225,285.0,18.68,0.56
Denver,Jan 23,Avocado,4225,477.0,2.28,2.26
Denver,Jan 23,Avocado,4225,101.0,6.23,2.94
Denver,Jan 23,Lychee,4309,187.0,11.85,2.52
Denver,Jan 23,Lychee,4309,103.0,7.44,0.94
Denver,Jan 23,Lychee,4309,214.0,17.12,3.18
Denver,Jan 23,Lychee,4309,373.0,14.82,2.41
Denver,Jan 23,Lychee,4309,204.0,18.44,0.93
Denver,Jan 23,Lychee,4309,117.0,5.06,0.68
Denver,Jan 23,Banana,4011,303.0,18.6,2.58
Denver,Jan 23,Banana,4011,419.0,17.46,2.32
Denver,Jan 23,Banana,4011,419.0,18.86,0.6
Denver,Jan 23,Banana,4011,254.0,19.22,2.86
Denver,Jan 23,Grapes,4272,448.0,19.77,2.5
Denver,Jan 23,Grapes,4272,307.0,12.02,2.4
