city,date,product,prodcode,quantity,weight_lb,price_usd
Los Angeles,Jan 23,Lemon,4958,263.0,12.16,2.88
Los Angeles,Jan 23,Lemon,4958,222.0,21.17,1.49
Los Angeles,Jan 23,Lemon,4958,355.0,13.46,2.24
Los Angeles,Jan 23,Lemon,4958,101.0,11.64,1.3
Los Angeles,Jan 23,Lemon,4958,185.0,10.65,1.49
Los Angeles,Jan 23,Lemon,4958,113.0,8.82,3.08
Los Angeles,Jan 23,Lemon,4958,242.0,11.72,2.98
Los Angeles,Jan 23,Lemon,4958,244.0,10.29,2.03
Los Angeles,Jan 23,Lemon,4958,319.0,16.09,2.92
Los Angeles,Jan 23,Orange,4012,197.0,10.53,2.75
Los Angeles,Jan 23,Orange,4012,298.0,3.29,2.04
Los Angeles,Jan 23,Orange,4012,168.0,7.09,1.7
Los Angeles,Jan 23,Orange,4012,343.0,18.79,2.52
Los Angeles,Jan 23,Orange,4012,340.0,9.12,1.26
Los Angeles,Jan 23,Lychee,4309,433.0,21.85,1.35
Los Angeles,Jan 23,Lychee,4309,439.0,20.05,2.42
Los Angeles,Jan 23,Lychee,4309,261.0,15.99,1.91
Los Angeles,Jan 23,Lychee,4309,428.0,21.14,0.73
Los Angeles,Jan 23,Lychee,4309,300.0,2.88,1.24
Los Angeles,Jan 23,Lychee,4309,188.0,13.33,1.12
Los Angeles,Jan 23,Lychee,4309,290.0,17.91,1.88
Los Angeles,Jan 23,Lychee,4309,405.0,18.1,2.85
Los Angeles,Jan 23,Lychee,4309,452.0,13.88,2.49
Los Angeles,Jan 23,Lychee,4309,249.0,2.4,0.98
Los Angeles,Jan 23,Lychee,4309,108.0,14.72,2.01
Los Angeles,Jan 23,Lychee,4309,215.0,12.14,2.38
Los Angeles,Jan 23,Lychee,4309,217.0,2.55,2.14
Los Angeles,Jan 23,Mushroom,4650,100.0,7.29,2.42
Los Angeles,Jan 23,Mushroom,4650,129.0,2.64,2.6
Los Angeles,Jan 23,Mushroom,4650,275.0,7.32,1.42
Los Angeles,Jan 23,Mushroom,4650,218.0,13.51,0.94
Los Angeles,Jan 23,Mushroom,4650,352.0,21.08,2.22
Los Angeles,Jan 23,Mushroom,4650,329.0,20.9,1.17
Los Angeles,Jan 23,Mushroom,4650,348.0,19.15,1.79
Los Angeles,Jan 23,Mushroom,4650,280.0,14.32,2.97
Los Angeles,Jan 23,Mushroom,4650,344.0,6.84,1.3
Los Angeles,Jan 23,Mushroom,4650,457.0,7.84,0.6
Los Angeles,Jan 23,Mushroom,4650,340.0,10.96,0.85
Los Angeles,Jan 23,Mushroom,4650,458.0,5.33,1.98
Los Angeles,Jan 23,Mushroom,4650,275.0,21.32,1.28
Los Angeles,Jan 23,Tomato,4796,212.0,7.58,1.89
Los Angeles,Jan 23,Tomato,4796,227.0,14.62,2.66
Los Angeles,Jan 23,Tomato,4796,396.0,9.5,1.46
Los Angeles,Jan 23,Tomato,4796,354.0,18.69,2.22
Los Angeles,Jan 23,Tomato,4796,234.0,19.69,2.75
Los Angeles,Jan 23,Tomato,4796,393.0,14.96,2.86
Los Angeles,Jan 23,Tomato,4796,323.0,7.6,3.27
Los Angeles,Jan 23,Tomato,4796,326.0,7.52,1.18
Los Angeles,Jan 23,Tomato,4796,167.0,15.7,1.54
Los Angeles,Jan 23,Peach,4404,320.0,15.84,1.87
Los Angeles,Jan 23,Peach,4404,323.0,5.32,2.46
Los Angeles,Jan 23,Peach,4404,387.0,6.4,3.07
Los Angeles,Jan 23,Peach,4404,363.0,14.39,0.72
Los Angeles,Jan 23,Peach,4404,343.0,12.62,2.98
Los Angeles,Jan 23,Peach,4404,191.0,14.0,2.64
Los Angeles,Jan 23,Peach,4404,429.0,5.35,2.96
Los Angeles,Jan 23,Kiwi,4030,347.0,18.48,2.88
Los Angeles,Jan 23,Kiwi,4030,500.0,18.89,1.09
Los Angeles,Jan 23,Kiwi,4030,309.0,18.18,1.98
Los Angeles,Jan 23,Kiwi,4030,272.0,21.25,2.46
Los Angeles,Jan 23,Kiwi,4030,478.0,8.02,2.09
Los Angeles,Jan 23,Eggplant,4081,379.0,15.25,1.0
Los Angeles,Jan 23,Eggplant,4081,229.0,10.52,2.91
Los Angeles,Jan 23,Eggplant,4081,345.0,12.68,0.9
Los Angeles,Jan 23,Eggplant,4081,256.0,15.49,1.97
Los Angeles,Jan 23,Eggplant,4081,458.0,3.83,1.92
Los Angeles,Jan 23,Eggplant,4081,464.0,8.08,3.11
Los Angeles,Jan 23,Eggplant,4081,392.0,2.29,2.33
Los Angeles,Jan 23,Eggplant,4081,243.0,21.51,1.58
Los Angeles,Jan 23,Pear,4412,453.0,4.32,3.21
Los Angeles,Jan 23,Pear,4412,154.0,6.43,2.15
Los Angeles,Jan 23,Pear,4412,225.0,15.38,1.12
Los Angeles,Jan 23,Pear,4412,350.0,15.57,1.04
Los Angeles,Jan 23,Pear,4412,256.0,2.9,2.7
Los Angeles,Jan 23,Pear,4412,244.0,15.53,2.99
Los Angeles,Jan 23,Pear,4412,228.0,19.72,3.2
Los Angeles,Jan 23,Pear,4412,331.0,7.63,1.68
Los Angeles,Jan 23,Pear,4412,270.0,17.82,2.85
Los Angeles,Jan 23,Pear,4412,439.0,17.89,0.65
Los Angeles,Jan 23,Pear,4412,451.0,7.94,2.81
Los Angeles,Jan 23,Pear,4412,197.0,17.52,2.66
Los Angeles,Jan 23,Pear,4412,326.0,9.75,1.05
Los Angeles,Jan 23,Pear,4412,447.0,10.6,1.07
Los Angeles,Jan 23,Pear,4412,103.0,15.96,3.01
Los Angeles,Jan 23,Pear,4412,268.0,7.48,1.87
Los Angeles,Jan 23,Apple (Fuji),4131,248.0,11.16,1.87
Los Angeles,Jan 23,Apple (Fuji),4131,486.0,6.01,1.41
Los Angeles,Jan 23,Apple (Fuji),4131,286.0,19.08,0.65
Los Angeles,Jan 23,Apple (Fuji),4131,296.0,10.68,0.89
Los Angeles,Jan 23,Apple (Fuji),4131,319.0,19.95,1.45
Los Angeles,Jan 23,Apple (Fuji),4131,218.0,18.36,1.43
Los Angeles,Jan 23,Apple (Fuji),4131,157.0,16.42,2.85
Los Angeles,Jan 23,Apple (Fuji),4131,130.0,18.26,0.82
Los Angeles,Jan 23,Apple (Fuji),4131,280.0,17.01,2.24
Los Angeles,Jan 23,Apple (Fuji),4131,453.0,2.35,3.29
Los Angeles,Jan 23,Apple (Fuji),4131,198.0,14.72,0.65
Los Angeles,Jan 23,Apple (Fuji),4131,443.0,17.52,1.16
Los Angeles,Jan 23,Blueberries,4240,139.0,7.78,2.81
Los Angeles,Jan 23,Blueberries,4240,242.0,12.09,2.27
Los Angeles,Jan 23,Blueberries,4240,356.0,6.49,3.1
Los Angeles,Jan 23,Blueberries,4240,159.0,3.55,3.25
Los Angeles,Jan 23,Blueberries,4240,109.0,18.89,2.23
Los Angeles,Jan 23,Blueberries,4240,438.0,18.75,2.07
Los Angeles,Jan 23,Blueberries,4240,162.0,4.08,1.96
Los Angeles,Jan 23,Blueberries,4240,302.0,15.59,1.99
Los Angeles,Jan 23,Blueberries,4240,275.0,2.64,1.74
Los Angeles,Jan 23,Corn,4078,418.0,20.06,2.41
Los Angeles,Jan 23,Corn,4078,175.0,9.18,1.07
Los Angeles,Jan 23,Corn,4078,218.0,17.75,2.03
Los Angeles,Jan 23,Corn,4078,338.0,21.73,1.34
Los Angeles,Jan 23,Corn,4078,205.0,3.2,1.45
Los Angeles,Jan 23,Corn,4078,440.0,6.98,2.9
Los Angeles,Jan 23,Corn,4078,354.0,8.43,1.67
Los Angeles,Jan 23,Onion,4159,460.0,6.52,2.37
Los Angeles,Jan 23,Onion,4159,345.0,15.62,1.66
Los Angeles,Jan 23,Onion,4159,206.0,11.1,2.61
Los Angeles,Jan 23,Onion,4159,248.0,16.77,1.93
Los Angeles,Jan 23,Onion,4159,354.0,2.69,0.72
Los Angeles,Jan 23,Onion,4159,443.0,20.35,1.06
Los Angeles,Jan 23,Onion,4159,238.0,9.56,2.49
