city,date,product,prodcode,quantity,weight_lb,price_usd
New York,Jan 23,Mushroom,4650,109.0,17.03,1.33
New York,Jan 23,Mushroom,4650,107.0,3.4,1.98
New York,Jan 23,Mushroom,4650,498.0,5.92,2.74
New York,Jan 23,Mushroom,4650,350.0,19.74,1.09
New York,Jan 23,Mushroom,4650,216.0,21.48,0.78
New York,Jan 23,Mushroom,4650,154.0,12.23,2.0
New York,Jan 23,Mushroom,4650,481.0,10.04,1.79
New York,Jan 23,Mushroom,4650,219.0,5.96,2.29
New York,Jan 23,Banana,4011,206.0,7.89,1.86
New York,Jan 23,Banana,4011,329.0,20.51,1.12
New York,Jan 23,Banana,4011,162.0,20.43,3.03
New York,Jan 23,Banana,4011,129.0,5.18,1.97
New York,Jan 23,Banana,4011,131.0,5.7,1.6
New York,Jan 23,Banana,4011,168.0,21.05,1.73
New York,Jan 23,Banana,4011,387.0,11.4,1.3
New York,Jan 23,Banana,4011,351.0,12.72,3.0
New York,Jan 23,Banana,4011,336.0,15.51,1.44
New York,Jan 23,Tomato,4796,416.0,20.35,2.67
New York,Jan 23,Tomato,4796,211.0,16.49,1.28
New York,Jan 23,Tomato,4796,270.0,9.14,1.18
New York,Jan 23,Tomato,4796,215.0,17.69,2.58
New York,Jan 23,Tomato,4796,265.0,10.23,0.73
New York,Jan 23,Tomato,4796,480.0,13.42,1.14
New York,Jan 23,Tomato,4796,416.0,7.83,2.47
New York,Jan 23,Tomato,4796,302.0,7.38,1.98
New York,Jan 23,Tomato,4796,125.0,21.76,1.38
New York,Jan 23,Tomato,4796,265.0,6.65,3.05
New York,Jan 23,Eggplant,4081,270.0,16.82,1.95
New York,Jan 23,Eggplant,4081,387.0,20.38,2.19
New York,Jan 23,Eggplant,4081,291.0,13.32,2.98
New York,Jan 23,Eggplant,4081,223.0,20.26,2.51
New York,Jan 23,Eggplant,4081,478.0,2.23,3.03
New York,Jan 23,Eggplant,4081,301.0,5.27,2.15
New York,Jan 23,Eggplant,4081,322.0,5.7,2.12
New York,Jan 23,Eggplant,4081,297.0,12.66,1.28
New York,Jan 23,Eggplant,4081,314.0,14.57,0.78
New York,Jan 23,Eggplant,4081,373.0,19.05,2.1
New York,Jan 23,Eggplant,4081,361.0,13.78,2.4
New York,Jan 23,Eggplant,4081,148.0,19.57,1.46
New York,Jan 23,Eggplant,4081,126.0,10.16,0.57
New York,Jan 23,Eggplant,4081,210.0,13.46,1.91
New York,Jan 23,Eggplant,4081,471.0,18.34,1.97
New York,Jan 23,Peach,4404,472.0,20.96,1.45
New York,Jan 23,Peach,4404,306.0,6.31,0.74
New York,Jan 23,Peach,4404,390.0,21.11,1.16
New York,Jan 23,Peach,4404,397.0,19.85,1.28
New York,Jan 23,Peach,4404,387.0,14.02,2.47
New York,Jan 23,Peach,4404,162.0,10.11,2.72
New York,Jan 23,Strawberries,4323,360.0,6.29,1.71
New York,Jan 23,Strawberries,4323,253.0,5.77,1.88
New York,Jan 23,Strawberries,4323,445.0,20.4,1.12
New York,Jan 23,Strawberries,4323,450.0,20.4,0.87
