city,date,product,prodcode,quantity,weight_lb,price_usd
Seattle,Jan 23,Orange,4012,214.0,7.49,1.53
Seattle,Jan 23,Orange,4012,460.0,5.29,1.33
Seattle,Jan 23,Orange,4012,170.0,2.89,1.05
Seattle,Jan 23,Orange,4012,200.0,17.93,0.72
Seattle,Jan 23,Orange,4012,310.0,17.73,1.3
Seattle,Jan 23,Orange,4012,383.0,12.18,1.96
Seattle,Jan 23,Orange,4012,194.0,15.32,2.03
Seattle,Jan 23,Orange,4012,237.0,15.29,1.37
Seattle,Jan 23,Apple (Fuji),4131,479.0,5.52,1.21
Seattle,Jan 23,Apple (Fuji),4131,476.0,10.32,0.86
Seattle,Jan 23,Apple (Fuji),4131,467.0,7.67,3.27
Seattle,Jan 23,Apple (Fuji),4131,428.0,10.22,2.99
Seattle,Jan 23,Apple (Fuji),4131,436.0,18.48,1.06
Seattle,Jan 23,Apple (Fuji),4131,158.0,10.53,0.72
Seattle,Jan 23,Apple (Fuji),4131,395.0,14.54,0.81
Seattle,Jan 23,Apple (Fuji),4131,123.0,20.17,2.2
Seattle,Jan 23,Apple (Fuji),4131,264.0,8.97,1.5
Seattle,Jan 23,Apple (Fuji),4131,446.0,13.79,2.28
Seattle,Jan 23,Apple (Fuji),4131,275.0,15.82,1.95
Seattle,Jan 23,Apple (Fuji),4131,411.0,10.2,2.73
Seattle,Jan 23,Apple (Fuji),4131,483.0,5.43,3.17
Seattle,Jan 23,Apple (Fuji),4131,165.0,10.12,2.03
Seattle,Jan 23,Eggplant,4081,232.0,19.81,0.81
Seattle,Jan 23,Eggplant,4081,208.0,2.84,2.33
Seattle,Jan 23,Eggplant,4081,267.0,9.03,3.3
Seattle,Jan 23,Eggplant,4081,407.0,3.4,2.18
Seattle,Jan 23,Eggplant,4081,449.0,5.4,2.33
Seattle,Jan 23,Eggplant,4081,170.0,20.98,1.38
Seattle,Jan 23,Eggplant,4081,451.0,7.68,1.44
Seattle,Jan 23,Eggplant,4081,180.0,4.5,1.57
Seattle,Jan 23,Eggplant,4081,380.0,16.79,2.8
Seattle,Jan 23,Eggplant,4081,121.0,16.6,1.47
Seattle,Jan 23,Eggplant,4081,467.0,20.4,2.78
Seattle,Jan 23,Eggplant,4081,302.0,6.35,2.03
Seattle,Jan 23,Mushroom,4650,245.0,16.4,3.11
Seattle,Jan 23,Mushroom,4650,372.0,14.71,1.71
Seattle,Jan 23,Mushroom,4650,157.0,15.31,1.74
Seattle,Jan 23,Mushroom,4650,132.0,4.91,2.06
Seattle,Jan 23,Mushroom,4650,383.0,18.66,0.83
Seattle,Jan 23,Mushroom,4650,447.0,2.93,1.21
Seattle,Jan 23,Mushroom,4650,180.0,21.65,0.86
Seattle,Jan 23,Mushroom,4650,433.0,21.55,0.7
Seattle,Jan 23,Mushroom,4650,390.0,13.61,1.75
Seattle,Jan 23,Mushroom,4650,446.0,3.46,1.65
Seattle,Jan 23,Apple (Gala),4134,211.0,17.02,2.28
Seattle,Jan 23,Apple (Gala),4134,495.0,13.59,0.97
Seattle,Jan 23,Apple (Gala),4134,426.0,18.85,0.67
Seattle,Jan 23,Apple (Gala),4134,111.0,2.23,2.02
Seattle,Jan 23,Apple (Gala),4134,432.0,14.55,0.99
Seattle,Jan 23,Apple (Gala),4134,361.0,7.48,1.46
Seattle,Jan 23,Apple (Gala),4134,387.0,17.87,2.74
Seattle,Jan 23,Apple (Gala),4134,462.0,21.86,2.68
Seattle,Jan 23,Pear,4412,153.0,3.24,2.42
Seattle,Jan 23,Pear,4412,194.0,7.8,0.55
Seattle,Jan 23,Pear,4412,394.0,5.2,0.65
Seattle,Jan 23,Pear,4412,366.0,11.91,2.46
Seattle,Jan 23,Pear,4412,250.0,7.85,2.83
Seattle,Jan 23,Pear,4412,353.0,15.35,0.55
Seattle,Jan 23,Pear,4412,220.0,18.68,1.32
Seattle,Jan 23,Pear,4412,143.0,2.5,1.3
Seattle,Jan 23,Pear,4412,387.0,7.93,2.65
Seattle,Jan 23,Pear,4412,161.0,6.92,1.03
Seattle,Jan 23,Pear,4412,385.0,21.16,2.35
Seattle,Jan 23,Corn,4078,269.0,13.4,0.69
Seattle,Jan 23,Corn,4078,264.0,20.59,1.75
Seattle,Jan 23,Corn,4078,135.0,6.7,2.41
Seattle,Jan 23,Corn,4078,401.0,14.84,2.02
Seattle,Jan 23,Corn,4078,159.0,4.6,2.65
Seattle,Jan 23,Corn,4078,112.0,5.37,1.78
Seattle,Jan 23,Avocado,4225,409.0,12.7,0.87
Seattle,Jan 23,Avocado,4225,119.0,2.59,1.47
Seattle,Jan 23,Avocado,4225,232.0,21.94,2.18
Seattle,Jan 23,Avocado,4225,338.0,2.25,0.8
Seattle,Jan 23,Avocado,4225,231.0,17.78,1.28
Seattle,Jan 23,Avocado,4225,172.0,13.61,2.18
Seattle,Jan 23,Avocado,4225,322.0,13.58,2.56
Seattle,Jan 23,Avocado,4225,385.0,10.8,0.7
Seattle,Jan 23,Avocado,4225,324.0,5.5,2.8
Seattle,Jan 23,Avocado,4225,237.0,11.19,1.87
Seattle,Jan 23,Tomato,4796,310.0,7.32,2.49
Seattle,Jan 23,Tomato,4796,136.0,8.61,1.79
Seattle,Jan 23,Tomato,4796,194.0,19.07,1.54
Seattle,Jan 23,Tomato,4796,377.0,12.48,2.78
Seattle,Jan 23,Tomato,4796,266.0,2.62,3.15
Seattle,Jan 23,Tomato,4796,202.0,2.76,0.61
Seattle,Jan 23,Tomato,4796,145.0,19.76,2.77
Seattle,Jan 23,Tomato,4796,352.0,21.41,1.46
Seattle,Jan 23,Cucumber,4062,411.0,7.19,2.97
Seattle,Jan 23,Cucumber,4062,481.0,14.6,2.5
Seattle,Jan 23,Cucumber,4062,407.0,16.5,2.71
Seattle,Jan 23,Banana,4011,328.0,19.37,1.15
Seattle,Jan 23,Banana,4011,100.0,14.53,1.52
Seattle,Jan 23,Banana,4011,137.0,19.9,0.92
Seattle,Jan 23,Banana,4011,215.0,7.11,2.49
Seattle,Jan 23,Banana,4011,360.0,10.68,0.91
Seattle,Jan 23,Banana,4011,350.0,16.47,0.74
Seattle,Jan 23,Banana,4011,345.0,4.41,2.84
Seattle,Jan 23,Banana,4011,131.0,15.96,1.72
Seattle,Jan 23,Banana,4011,127.0,15.53,1.66
Seattle,Jan 23,Peach,4404,155.0,2.69,1.55
Seattle,Jan 23,Peach,4404,376.0,17.4,0.61
Seattle,Jan 23,Peach,4404,408.0,15.37,2.62
Seattle,Jan 23,Peach,4404,202.0,13.54,1.33
Seattle,Jan 23,Peach,4404,151.0,17.42,1.94
Seattle,Jan 23,Peach,4404,235.0,19.25,3.22
Seattle,Jan 23,Peach,4404,135.0,12.59,1.05
Seattle,Jan 23,Peach,4404,314.0,16.81,2.01
Seattle,Jan 23,Peach,4404,476.0,4.68,1.27
Seattle,Jan 23,Peach,4404,439.0,8.11,3.04
Seattle,Jan 23,Peach,4404,494.0,2.42,0.69
Seattle,Jan 23,Peach,4404,407.0,21.35,2.15
Seattle,Jan 23,Apricot,3302,206.0,13.54,1.13
Seattle,Jan 23,Apricot,3302,323.0,7.73,2.6
Seattle,Jan 23,Apricot,3302,271.0,3.58,3.19
Seattle,Jan 23,Apricot,3302,411.0,13.85,1.21
Seattle,Jan 23,Apricot,3302,500.0,8.9,2.47
Seattle,Jan 23,Apricot,3302,291.0,13.37,2.75
Seattle,Jan 23,Apricot,3302,291.0,12.45,3.17
Seattle,Jan 23,Apricot,3302,181.0,9.65,3.03
Seattle,Jan 23,Apricot,3302,361.0,7.31,1.17
Seattle,Jan 23,Apricot,3302,408.0,2.64,1.7
Seattle,Jan 23,Apricot,3302,292.0,9.1,2.84
Seattle,Jan 23,Grapes,4272,261.0,13.3,0.77
Seattle,Jan 23,Grapes,4272,489.0,10.25,0.77
Seattle,Jan 23,Grapes,4272,227.0,12.29,2.8
Seattle,Jan 23,Grapes,4272,215.0,9.26,2.02
Seattle,Jan 23,Grapes,4272,164.0,19.82,0.57
Seattle,Jan 23,Grapes,4272,354.0,18.34,2.52
Seattle,Jan 23,Grapes,4272,204.0,7.74,1.67
Seattle,Jan 23,Grapes,4272,444.0,11.28,2.51
Seattle,Jan 23,Kiwi,4030,139.0,11.51,1.68
Seattle,Jan 23,Kiwi,4030,125.0,3.75,2.78
Seattle,Jan 23,Kiwi,4030,201.0,18.82,1.4
Seattle,Jan 23,Kiwi,4030,340.0,12.7,1.58
Seattle,Jan 23,Kiwi,4030,252.0,13.81,1.77
Seattle,Jan 23,Kiwi,4030,159.0,12.57,1.69
Seattle,Jan 23,Kiwi,4030,438.0,11.29,3.13
Seattle,Jan 23,Kiwi,4030,205.0,5.7,2.77
Seattle,Jan 23,Kiwi,4030,227.0,14.22,0.58
Seattle,Jan 23,Kiwi,4030,107.0,11.64,1.56
Seattle,Jan 23,Kiwi,4030,218.0,4.65,2.18
Seattle,Jan 23,Blueberries,4240,476.0,18.63,1.93
Seattle,Jan 23,Blueberries,4240,489.0,11.42,1.23
Seattle,Jan 23,Blueberries,4240,268.0,7.73,1.36
Seattle,Jan 23,Blueberries,4240,384.0,12.03,2.95
Seattle,Jan 23,Onion,4159,199.0,12.97,1.46
Seattle,Jan 23,Onion,4159,333.0,12.43,1.23
Seattle,Jan 23,Onion,4159,427.0,4.05,1.7
Seattle,Jan 23,Onion,4159,235.0,13.46,3.09
Seattle,Jan 23,Onion,4159,168.0,5.06,2.86
Seattle,Jan 23,Onion,4159,116.0,8.63,2.29
Seattle,Jan 23,Onion,4159,144.0,10.04,0.93
Seattle,Jan 23,Onion,4159,176.0,14.88,1.74
Seattle,Jan 23,Lemon,4958,409.0,11.34,1.34
Seattle,Jan 23,Lemon,4958,203.0,19.16,1.75
Seattle,Jan 23,Lemon,4958,329.0,6.49,0.85
Seattle,Jan 23,Lemon,4958,121.0,4.4,2.46
Seattle,Jan 23,Lemon,4958,215.0,11.48,1.26
Seattle,Jan 23,Lemon,4958,170.0,4.78,1.19
Seattle,Jan 23,Lemon,4958,445.0,9.31,1.09
Seattle,Jan 23,Lemon,4958,387.0,4.35,2.61
Seattle,Jan 23,Lemon,4958,116.0,12.28,2.45
Seattle,Jan 23,Lychee,4309,188.0,3.57,2.67
Seattle,Jan 23,Lychee,4309,344.0,6.61,1.92
Seattle,Jan 23,Lychee,4309,128.0,13.65,2.78
Seattle,Jan 23,Lychee,4309,162.0,16.22,1.01
Seattle,Jan 23,Lychee,4309,170.0,3.1,0.96
Seattle,Jan 23,Strawberries,4323,153.0,20.82,3.29
Seattle,Jan 23,Strawberries,4323,297.0,3.36,2.35
Seattle,Jan 23,Strawberries,4323,492.0,9.58,1.94
Seattle,Jan 23,Strawberries,4323,252.0,13.57,1.9
Seattle,Jan 23,Strawberries,4323,487.0,13.99,2.35
Seattle,Jan 23,Strawberries,4323,454.0,12.25,1.8
Seattle,Jan 19,Blueberries,4240,232.0,20.4,3.11
Seattle,Jan 19,Blueberries,4240,462.0,4.3,1.37
Seattle,Jan 19,Blueberries,4240,212.0,5.93,0.83
Seattle,Jan 19,Blueberries,4240,321.0,2.46,2.82
Seattle,Jan 19,Blueberries,4240,245.0,9.37,0.99
Seattle,Jan 19,Blueberries,4240,207.0,21.29,0.62
Seattle,Jan 19,Blueberries,4240,499.0,22.0,2.39
Seattle,Jan 19,Blueberries,4240,187.0,4.77,1.41
Seattle,Jan 19,Blueberries,4240,374.0,14.55,0.59
Seattle,Jan 19,Blueberries,4240,345.0,2.58,1.09
Seattle,Jan 19,Blueberries,4240,290.0,11.28,2.24
Seattle,Jan 19,Blueberries,4240,489.0,20.27,2.8
Seattle,Jan 19,Lychee,4309,489.0,13.02,1.56
Seattle,Jan 19,Lychee,4309,277.0,17.19,3.15
Seattle,Jan 19,Lychee,4309,426.0,4.89,3.19
Seattle,Jan 19,Lychee,4309,144.0,11.56,1.14
Seattle,Jan 19,Lychee,4309,271.0,15.32,1.52
Seattle,Jan 19,Lychee,4309,172.0,5.51,3.14
Seattle,Jan 19,Lychee,4309,272.0,18.82,2.12
Seattle,Jan 19,Lychee,4309,138.0,12.83,1.42
Seattle,Jan 19,Lychee,4309,373.0,8.1,3.18
Seattle,Jan 19,Lychee,4309,205.0,10.34,2.16
Seattle,Jan 19,Avocado,4225,303.0,10.92,0.66
Seattle,Jan 19,Avocado,4225,475.0,14.65,2.83
Seattle,Jan 19,Avocado,4225,372.0,6.47,1.29
Seattle,Jan 19,Avocado,4225,197.0,6.91,2.18
Seattle,Jan 19,Avocado,4225,393.0,5.34,2.06
Seattle,Jan 19,Avocado,4225,459.0,17.31,2.3
Seattle,Jan 19,Avocado,4225,180.0,17.71,1.06
Seattle,Jan 19,Avocado,4225,272.0,21.92,2.49
Seattle,Jan 19,Avocado,4225,193.0,4.75,0.69
Seattle,Jan 19,Apricot,3302,185.0,17.02,2.45
Seattle,Jan 19,Apricot,3302,207.0,5.25,2.27
Seattle,Jan 19,Apricot,3302,160.0,15.58,1.58
Seattle,Jan 19,Apricot,3302,479.0,9.74,2.52
Seattle,Jan 19,Apricot,3302,366.0,17.87,1.24
Seattle,Jan 19,Apricot,3302,255.0,19.52,1.0
Seattle,Jan 19,Apricot,3302,230.0,4.03,2.96
Seattle,Jan 19,Apricot,3302,319.0,5.51,1.25
Seattle,Jan 19,Apple (Gala),4134,362.0,14.85,1.61
Seattle,Jan 19,Apple (Gala),4134,318.0,5.18,2.52
Seattle,Jan 19,Apple (Gala),4134,492.0,12.26,2.38
Seattle,Jan 19,Apple (Gala),4134,336.0,14.15,1.95
Seattle,Jan 19,Apple (Gala),4134,396.0,7.31,3.3
Seattle,Jan 19,Apple (Gala),4134,139.0,17.55,1.08
Seattle,Jan 19,Apple (Gala),4134,192.0,19.91,0.66
Seattle,Jan 19,Eggplant,4081,236.0,6.37,2.28
Seattle,Jan 19,Eggplant,4081,321.0,15.8,1.67
Seattle,Jan 19,Eggplant,4081,358.0,4.34,1.34
Seattle,Jan 19,Eggplant,4081,376.0,8.78,2.0
Seattle,Jan 19,Eggplant,4081,259.0,9.74,2.36
Seattle,Jan 19,Eggplant,4081,134.0,7.75,1.66
Seattle,Jan 19,Eggplant,4081,422.0,20.95,2.11
Seattle,Jan 19,Eggplant,4081,385.0,12.04,1.3
Seattle,Jan 19,Eggplant,4081,142.0,2.61,1.42
Seattle,Jan 19,Eggplant,4081,497.0,4.19,1.58
Seattle,Jan 19,Eggplant,4081,325.0,9.72,1.16
Seattle,Jan 19,Eggplant,4081,125.0,15.76,1.16
Seattle,Jan 19,Tomato,4796,156.0,8.68,2.8
Seattle,Jan 19,Tomato,4796,100.0,11.65,1.47
Seattle,Jan 19,Tomato,4796,439.0,4.42,2.97
Seattle,Jan 19,Tomato,4796,155.0,12.26,2.11
Seattle,Jan 19,Tomato,4796,136.0,16.05,2.96
Seattle,Jan 19,Tomato,4796,464.0,21.9,1.74
Seattle,Jan 19,Tomato,4796,336.0,12.82,1.66
Seattle,Jan 19,Tomato,4796,390.0,15.98,2.58
Seattle,Jan 19,Tomato,4796,147.0,17.07,3.19
Seattle,Jan 19,Tomato,4796,333.0,19.47,3.17
Seattle,Jan 19,Tomato,4796,331.0,11.86,1.28
Seattle,Jan 19,Tomato,4796,497.0,4.15,1.15
Seattle,Jan 19,Mushroom,4650,106.0,12.21,3.14
Seattle,Jan 19,Mushroom,4650,226.0,9.12,1.3
Seattle,Jan 19,Mushroom,4650,270.0,2.7,3.18
Seattle,Jan 19,Mushroom,4650,178.0,12.72,1.94
Seattle,Jan 19,Mushroom,4650,155.0,19.07,2.58
Seattle,Jan 19,Mushroom,4650,220.0,18.38,3.0
Seattle,Jan 19,Peach,4404,394.0,15.05,0.59
Seattle,Jan 19,Peach,4404,324.0,3.81,1.55
Seattle,Jan 19,Peach,4404,474.0,17.54,1.09
Seattle,Jan 19,Peach,4404,486.0,3.69,0.89
Seattle,Jan 19,Peach,4404,453.0,18.26,0.7
Seattle,Jan 19,Peach,4404,377.0,6.69,2.19
Seattle,Jan 19,Peach,4404,373.0,4.07,0.64
Seattle,Jan 19,Peach,4404,404.0,6.17,1.1
Seattle,Jan 19,Peach,4404,224.0,9.62,1.11
Seattle,Jan 19,Peach,4404,451.0,5.67,0.99
Seattle,Jan 19,Peach,4404,216.0,8.95,2.12
Seattle,Jan 19,Peach,4404,143.0,3.88,0.88
Seattle,Jan 19,Corn,4078,406.0,16.42,1.42
Seattle,Jan 19,Corn,4078,487.0,7.88,1.85
Seattle,Jan 19,Corn,4078,227.0,14.81,1.74
Seattle,Jan 19,Corn,4078,184.0,3.13,1.45
Seattle,Jan 19,Corn,4078,324.0,7.55,2.08
Seattle,Jan 19,Corn,4078,386.0,10.14,1.63
Seattle,Jan 19,Corn,4078,241.0,18.72,0.81
Seattle,Jan 19,Corn,4078,171.0,15.39,1.04
Seattle,Jan 19,Corn,4078,424.0,18.52,1.7
Seattle,Jan 19,Corn,4078,107.0,16.41,3.29
Seattle,Jan 19,Pear,4412,480.0,21.68,2.22
Seattle,Jan 19,Pear,4412,243.0,19.94,2.67
Seattle,Jan 19,Pear,4412,340.0,3.88,2.53
Seattle,Jan 19,Pear,4412,337.0,9.81,2.81
Seattle,Jan 19,Pear,4412,221.0,16.26,1.25
Seattle,Jan 19,Pear,4412,139.0,11.89,2.95
Seattle,Jan 19,Pear,4412,317.0,5.59,1.39
Seattle,Jan 19,Pear,4412,406.0,9.51,2.43
Seattle,Jan 19,Pear,4412,246.0,8.24,2.84
Seattle,Jan 19,Pear,4412,491.0,14.3,1.85
Seattle,Jan 19,Pear,4412,374.0,17.75,2.23
Seattle,Jan 19,Pear,4412,228.0,16.0,1.0
Seattle,Jan 19,Pear,4412,174.0,19.11,2.91
Seattle,Jan 19,Pear,4412,135.0,16.91,2.89
Seattle,Jan 19,Pear,4412,149.0,14.82,2.05
Seattle,Jan 19,Pear,4412,134.0,13.77,2.87
Seattle,Jan 19,Pear,4412,344.0,16.02,1.03
Seattle,Jan 19,Pear,4412,377.0,15.88,1.93
Seattle,Jan 19,Pear,4412,220.0,9.85,2.46
Seattle,Jan 19,Strawberries,4323,345.0,9.93,1.96
Seattle,Jan 19,Strawberries,4323,264.0,8.96,2.37
Seattle,Jan 19,Strawberries,4323,493.0,18.56,2.89
Seattle,Jan 19,Strawberries,4323,403.0,16.41,1.36
Seattle,Jan 19,Strawberries,4323,476.0,4.56,3.15
Seattle,Jan 19,Strawberries,4323,215.0,21.68,0.65
Seattle,Jan 19,Strawberries,4323,379.0,10.85,1.36
Seattle,Jan 19,Strawberries,4323,405.0,6.55,1.63
Seattle,Jan 19,Strawberries,4323,486.0,6.97,2.39
Seattle,Jan 19,Lemon,4958,389.0,7.26,2.77
Seattle,Jan 19,Lemon,4958,438.0,14.12,2.33
Seattle,Jan 19,Lemon,4958,132.0,8.81,1.08
Seattle,Jan 19,Lemon,4958,290.0,17.88,1.28
Seattle,Jan 19,Orange,4012,388.0,18.49,1.3
