city,date,product,prodcode,quantity,weight_lb,price_usd
San Francisco,Jan 23,Lemon,4958,197.0,11.36,1.95
San Francisco,Jan 23,Lemon,4958,284.0,20.47,1.15
San Francisco,Jan 23,Lemon,4958,186.0,14.41,1.27
San Francisco,Jan 23,Lemon,4958,460.0,6.62,1.32
San Francisco,Jan 23,Lemon,4958,325.0,12.18,0.82
San Francisco,Jan 23,Lemon,4958,341.0,18.41,0.74
San Francisco,Jan 23,Lemon,4958,376.0,8.66,2.65
San Francisco,Jan 23,Lemon,4958,406.0,2.73,1.19
San Francisco,Jan 23,Lemon,4958,462.0,2.34,1.9
San Francisco,Jan 23,Lemon,4958,351.0,21.69,1.65
San Francisco,Jan 23,Lemon,4958,266.0,2.42,2.14
San Francisco,Jan 23,Lemon,4958,326.0,15.79,2.81
San Francisco,Jan 23,Cucumber,4062,313.0,17.82,1.91
San Francisco,Jan 23,Cucumber,4062,278.0,10.14,1.82
San Francisco,Jan 23,Cucumber,4062,310.0,6.19,1.36
San Francisco,Jan 23,Cucumber,4062,152.0,17.19,2.82
San Francisco,Jan 23,Cucumber,4062,130.0,17.97,1.32
San Francisco,Jan 23,Cucumber,4062,162.0,4.24,2.03
San Francisco,Jan 23,Cucumber,4062,461.0,19.26,1.1
San Francisco,Jan 23,Cucumber,4062,382.0,5.71,0.68
San Francisco,Jan 23,Cucumber,4062,298.0,10.93,1.01
San Francisco,Jan 23,Eggplant,4081,243.0,16.14,3.1
San Francisco,Jan 23,Eggplant,4081,217.0,21.21,2.86
San Francisco,Jan 23,Eggplant,4081,138.0,9.77,0.84
San Francisco,Jan 23,Eggplant,4081,365.0,6.87,1.91
San Francisco,Jan 23,Eggplant,4081,414.0,9.73,1.75
San Francisco,Jan 23,Eggplant,4081,245.0,16.63,2.69
San Francisco,Jan 23,Eggplant,4081,120.0,2.33,1.21
San Francisco,Jan 23,Eggplant,4081,311.0,19.59,0.74
San Francisco,Jan 23,Eggplant,4081,264.0,6.26,3.06
San Francisco,Jan 23,Eggplant,4081,433.0,12.94,1.94
San Francisco,Jan 23,Eggplant,4081,397.0,10.37,1.12
San Francisco,Jan 23,Eggplant,4081,397.0,7.36,2.67
San Francisco,Jan 23,Grapes,4272,136.0,5.37,2.3
San Francisco,Jan 23,Grapes,4272,391.0,20.74,1.21
San Francisco,Jan 23,Grapes,4272,150.0,20.26,2.14
San Francisco,Jan 23,Grapes,4272,352.0,2.7,1.72
San Francisco,Jan 23,Grapes,4272,489.0,7.84,2.71
San Francisco,Jan 23,Grapes,4272,234.0,4.55,0.67
San Francisco,Jan 23,Grapes,4272,111.0,17.59,0.95
San Francisco,Jan 23,Grapes,4272,177.0,14.15,1.01
San Francisco,Jan 23,Grapes,4272,330.0,20.92,2.05
San Francisco,Jan 23,Grapes,4272,154.0,4.98,1.84
San Francisco,Jan 23,Grapes,4272,100.0,17.32,2.44
San Francisco,Jan 23,Grapes,4272,390.0,19.35,0.98
San Francisco,Jan 23,Apple (Gala),4134,179.0,14.78,1.79
San Francisco,Jan 23,Apple (Gala),4134,393.0,13.44,2.97
San Francisco,Jan 23,Apple (Gala),4134,377.0,5.92,0.91
San Francisco,Jan 23,Apple (Gala),4134,309.0,5.39,0.61
San Francisco,Jan 23,Apple (Gala),4134,394.0,2.69,2.0
San Francisco,Jan 23,Apple (Gala),4134,408.0,2.97,2.7
San Francisco,Jan 23,Lychee,4309,112.0,8.76,0.96
San Francisco,Jan 23,Lychee,4309,316.0,9.33,1.63
San Francisco,Jan 23,Lychee,4309,480.0,3.9,1.01
San Francisco,Jan 23,Lychee,4309,500.0,18.59,2.53
San Francisco,Jan 23,Tomato,4796,326.0,11.92,2.76
San Francisco,Jan 23,Tomato,4796,154.0,16.5,2.67
San Francisco,Jan 23,Tomato,4796,199.0,11.46,1.72
San Francisco,Jan 23,Tomato,4796,228.0,3.67,2.91
San Francisco,Jan 23,Tomato,4796,383.0,11.69,0.62
San Francisco,Jan 23,Tomato,4796,418.0,10.2,1.87
San Francisco,Jan 23,Tomato,4796,194.0,6.64,0.92
San Francisco,Jan 23,Tomato,4796,394.0,21.82,1.21
San Francisco,Jan 23,Onion,4159,345.0,10.09,1.24
San Francisco,Jan 23,Onion,4159,472.0,12.35,1.55
San Francisco,Jan 23,Onion,4159,441.0,18.72,2.47
San Francisco,Jan 23,Onion,4159,302.0,16.52,2.6
San Francisco,Jan 23,Onion,4159,173.0,9.49,2.16
San Francisco,Jan 23,Onion,4159,338.0,21.51,1.79
San Francisco,Jan 23,Onion,4159,495.0,8.83,1.95
San Francisco,Jan 23,Blueberries,4240,277.0,3.28,3.19
San Francisco,Jan 23,Blueberries,4240,447.0,9.87,1.25
San Francisco,Jan 23,Blueberries,4240,298.0,19.23,3.17
San Francisco,Jan 23,Blueberries,4240,289.0,12.98,0.63
San Francisco,Jan 23,Blueberries,4240,175.0,15.66,1.85
San Francisco,Jan 23,Blueberries,4240,214.0,20.69,1.64
San Francisco,Jan 23,Blueberries,4240,381.0,13.07,2.43
San Francisco,Jan 23,Banana,4011,415.0,2.42,1.37
San Francisco,Jan 23,Banana,4011,130.0,5.98,0.59
San Francisco,Jan 23,Banana,4011,359.0,20.33,3.05
San Francisco,Jan 23,Banana,4011,112.0,10.16,2.15
San Francisco,Jan 23,Banana,4011,285.0,12.33,0.65
San Francisco,Jan 23,Banana,4011,431.0,15.18,3.03
San Francisco,Jan 23,Banana,4011,325.0,4.54,2.49
San Francisco,Jan 23,Banana,4011,340.0,4.33,1.55
San Francisco,Jan 23,Banana,4011,171.0,9.46,2.1
San Francisco,Jan 23,Banana,4011,431.0,13.09,2.39
San Francisco,Jan 23,Banana,4011,428.0,14.19,2.67
San Francisco,Jan 23,Banana,4011,475.0,7.59,2.74
San Francisco,Jan 23,Banana,4011,188.0,7.08,0.61
San Francisco,Jan 23,Peach,4404,458.0,9.82,1.71
San Francisco,Jan 23,Peach,4404,106.0,20.05,1.27
San Francisco,Jan 23,Peach,4404,218.0,2.82,3.19
San Francisco,Jan 23,Peach,4404,221.0,6.49,2.35
San Francisco,Jan 23,Peach,4404,225.0,9.56,0.63
San Francisco,Jan 23,Peach,4404,313.0,14.88,1.36
San Francisco,Jan 23,Peach,4404,194.0,13.42,1.49
San Francisco,Jan 23,Peach,4404,361.0,14.29,2.82
San Francisco,Jan 23,Mushroom,4650,459.0,15.78,0.93
San Francisco,Jan 23,Mushroom,4650,366.0,17.06,1.72
San Francisco,Jan 23,Mushroom,4650,339.0,7.32,3.02
San Francisco,Jan 23,Mushroom,4650,267.0,14.95,0.57
San Francisco,Jan 23,Mushroom,4650,497.0,10.52,2.39
San Francisco,Jan 23,Mushroom,4650,278.0,20.89,2.61
San Francisco,Jan 23,Mushroom,4650,168.0,17.74,2.64
San Francisco,Jan 23,Orange,4012,370.0,7.62,1.84
San Francisco,Jan 23,Orange,4012,212.0,3.59,0.62
San Francisco,Jan 23,Orange,4012,424.0,15.21,3.05
San Francisco,Jan 23,Orange,4012,311.0,10.51,1.7
San Francisco,Jan 23,Orange,4012,266.0,15.75,0.86
San Francisco,Jan 23,Orange,4012,208.0,12.17,3.17
San Francisco,Jan 23,Orange,4012,191.0,8.26,2.51
San Francisco,Jan 23,Strawberries,4323,142.0,15.15,2.91
San Francisco,Jan 23,Strawberries,4323,472.0,11.36,2.02
San Francisco,Jan 23,Strawberries,4323,125.0,9.99,2.18
San Francisco,Jan 23,Strawberries,4323,202.0,6.75,2.55
San Francisco,Jan 23,Strawberries,4323,429.0,15.72,2.26
San Francisco,Jan 23,Strawberries,4323,312.0,15.28,1.99
San Francisco,Jan 23,Kiwi,4030,311.0,17.38,1.86
San Francisco,Jan 23,Kiwi,4030,352.0,20.29,2.39
San Francisco,Jan 23,Kiwi,4030,456.0,20.06,1.65
San Francisco,Jan 23,Kiwi,4030,341.0,10.54,2.45
San Francisco,Jan 23,Kiwi,4030,227.0,20.41,1.95
San Francisco,Jan 23,Kiwi,4030,348.0,20.23,1.8
San Francisco,Jan 23,Kiwi,4030,355.0,14.12,1.27
San Francisco,Jan 23,Pear,4412,194.0,13.06,2.95
San Francisco,Jan 23,Pear,4412,447.0,3.5,2.66
San Francisco,Jan 23,Pear,4412,323.0,16.68,3.25
San Francisco,Jan 23,Pear,4412,342.0,3.14,2.8
San Francisco,Jan 23,Pear,4412,398.0,10.11,1.76
San Francisco,Jan 23,Pear,4412,220.0,9.34,2.86
San Francisco,Jan 23,Apricot,3302,166.0,10.19,0.93
San Francisco,Jan 23,Apricot,3302,359.0,4.73,2.96
San Francisco,Jan 23,Apricot,3302,474.0,18.17,2.41
San Francisco,Jan 23,Apricot,3302,184.0,12.31,2.42
San Francisco,Jan 23,Apricot,3302,258.0,5.32,0.81
San Francisco,Jan 23,Corn,4078,445.0,16.61,2.43
San Francisco,Jan 23,Corn,4078,459.0,15.82,2.13
San Francisco,Jan 23,Corn,4078,424.0,16.32,2.42
